Order,Family,Genus,species,Sexual System,Karyotype,notes: Karyotype,Genotypic,Haplodiploidy,Chromosome number (female) 2N,Chromosome number (male) 2N
Coleoptera,Curculionidae,Listroderes,costirostris,parthenogenetic,,,,,30,
Coleoptera,Curculionidae,Listroderes,costirostris,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Listroderes,costirostris,parthenogenetic,,,,,35,
Coleoptera,Curculionidae,Lixus,acutipennis,gonochorous,XY,Xyp,male heterogametic,,46,46
Coleoptera,Curculionidae,Lixus,cardui,gonochorous,XY,Xyp,male heterogametic,,44,44
Coleoptera,Curculionidae,Lixus,divaricatus,gonochorous,XY,Xyp,male heterogametic,,46,46
Coleoptera,Curculionidae,Lixus,impressiventris,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Lixus,maculatus,gonochorous,XY,Xyp,male heterogametic,,46,46
Coleoptera,Curculionidae,Lixus,subtilis,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Lobotrachelus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Macrocorynus,griseoides,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Magdalis,alutacea,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Magdalis,gentilis,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Magdalis,leconti,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Magdalis,leconti,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Magdalis,leconti,gonochorous,,,,,,16
Coleoptera,Curculionidae,Magdalis,perforata,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Magdalis,piceae,gonochorous,XY,NeoXY  ,male heterogametic,,30,30
Coleoptera,Curculionidae,Magdalis,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Mechistocerus,fumosus,gonochorous,XY,Xyp,male heterogametic,,36,36
Coleoptera,Curculionidae,Mechistocerus,nipponicus,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Mechistocerus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Mechistocerus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Mechistocerus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Mechistocerus,sp. 1    ,gonochorous,XY,NeoXY  ,male heterogametic,,20,20
Coleoptera,Curculionidae,Mechistocerus,sp. 2    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Mechistocerus,sp. 3    ,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Mechistocerus,sp. Nov.    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Mechistocerus,sp. Nov.    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Mechistocerus,sp. Nov.    ,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Mecopomorphus,griseus,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Curculionidae,Mecyslobus,flavosignatus,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Mecyslobus,westermanni,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Mecysmoderes,sp. 1    ,gonochorous,XY,,male heterogametic,,38,38
Coleoptera,Curculionidae,Mecysolobus,erro,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Mecysolobus,flavosignatus,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Mecysolobus,trifidus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Meotiorrhynchus,querendus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Metamasius,hemipterus,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Curculionidae,Metapocyrtus,yonagunianus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Metapocyrtus,yonagunianus,gonochorous,XY,Xyp,male heterogametic,,42,42
Coleoptera,Curculionidae,Metialma,scenica,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Metialma,sp,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Metialma,sp,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Metialma,sp,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Miccotrogus,picirostris,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Myllocerus,11-pustulatus maculosus    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,angulatipes,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,blandus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,conspersus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,dentifer,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,discolor,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,discolor canescans    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,dorsatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,fumosus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Myllocerus,griseus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,kashmiriensis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,leativirens,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,lefroi,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,nipponicus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Myllocerus,paetus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,pauper,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,sabulosus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Myllocerus,sp. 2    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,subfasciatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,transmarinus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,tusicollis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,viridanus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myllocerus,viridens,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Myosides,seriehispidus,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Naupactus,bruchi,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Naupactus,bruchi,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Naupactus,peregrinus,gonochorous,,,,,,
Coleoptera,Curculionidae,Naupactus,xantographus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Naupactus,xantographus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Nedyus,quadrimaculatus,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Neocanonopsis,dreuxi,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Neomecopus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Niphades,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Niphades,variegatus,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Notaris,acridulus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Odoiporous,longicollis,gonochorous,,,,,26,
Coleoptera,Curculionidae,Odoiporous,longicollis,parthenogenetic,,,,,52,
Coleoptera,Curculionidae,Odoiporous,longicollis,parthenogenetic,,,,,78,
Coleoptera,Curculionidae,Oedophyrus,hilleri,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Curculionidae,Okikuruminus,oblongus,gonochorous,XY,Xyp,male heterogametic,,36,36
Coleoptera,Curculionidae,Okikuruminus,roelofsi,gonochorous,XY,Xyp,male heterogametic,,36,36
Coleoptera,Curculionidae,Orobitis,apicalis,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Curculionidae,Orochlesis,takaosanus,gonochorous,XY,Xyp,male heterogametic,,40,40
Coleoptera,Curculionidae,Otiorhynchus,alpicola,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,alpicola atterimus    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,anthracinus,parthenogenetic,,,,,55,
Coleoptera,Curculionidae,Otiorhynchus,apenninus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,arcticus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,arcticus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,armadillo,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,atripes,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,atroapterus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,aurosignatus vlasuljensis    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,austriacus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,austriacus,gonochorous,complex XO,XXOO,male heterogametic,,,22
Coleoptera,Curculionidae,Otiorhynchus,bisulcatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,bisulcatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,carmagnolae,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,chrysocomus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,chrysocomus,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Otiorhynchus,chrysops,gonochorous,complex XO,XXOO,male heterogametic,,,20
Coleoptera,Curculionidae,Otiorhynchus,coecus as O. niger  ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,cornicinus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,corvus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,corvus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,croaticus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,croaticus,parthenogenetic,,,,,28,
Coleoptera,Curculionidae,Otiorhynchus,dryadis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,dubius,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Otiorhynchus,equestris,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,fuscipes,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,fuscipes,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,gemmatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,gemmatus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,geniculatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,inflatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,inflatus salebrosus    ,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,kollari,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,koritnicensis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,ligustici,parthenogenetic,,,,,34,
Coleoptera,Curculionidae,Otiorhynchus,mendax,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Otiorhynchus,meridionalis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,meridionalis,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,minutesquamosus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,minutesquamosus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,morio,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,morio,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,multipunctatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,multipunctatus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,niger,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,niger,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,niger,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,obsidianus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,obtusus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,opulentus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,ovatus,gonochorous,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,ovatus,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Otiorhynchus,pauxillus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,pauxillus,parthenogenetic,,,,,34,
Coleoptera,Curculionidae,Otiorhynchus,praecellens bosnarum    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,proximus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,raucus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,repletus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,retifer,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,rotifer,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,rugifrons,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,rugifrons,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,salicicola psudonotus    ,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,salicis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,salicis,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Otiorhynchus,salicis,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Otiorhynchus,salicis,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Otiorhynchus,salicis,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,scaber,parthenogenetic,,,,,32,
Coleoptera,Curculionidae,Otiorhynchus,scaber,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,scaber,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,scaber,parthenogenetic,,,,,43,
Coleoptera,Curculionidae,Otiorhynchus,scaber,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Otiorhynchus,sensitivus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,singularis,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,speiseri,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,strumosus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,subdentatus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,subdentatus,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Otiorhynchus,sulcatus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,sulcatus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Otiorhynchus,sulcatus,parthenogenetic,,,,,34,
Coleoptera,Curculionidae,Otiorhynchus,tenebricosus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Otiorhynchus,vehemens,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Oxydema,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pachylobius,picivorus,gonochorous,,,,,,36
Coleoptera,Curculionidae,Pachyrhynchus,infernalis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Pachytychius,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Pagiophloeus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Paophilus,afflatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Parafoucartia,squamulata,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Paramecopus,farinosus,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Paraplapoderus,ulmi,gonochorous,XY,,male heterogametic,,30,30
Coleoptera,Curculionidae,Parascaphus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Parascaphus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Curculionidae,Paratrachelophorus,longicornis,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Peritelus,hitricornis,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Peritelus,hitricornis,parthenogenetic,,,,,44,
Coleoptera,Curculionidae,Phloeophagosoma,takenouchii,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Phyllobius,annectans,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,arborator,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,argentatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,armatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,brevis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,brevitarsis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,caucasicus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,galloisi,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,incomptus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,intrusus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,longicornis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,longicornis,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Curculionidae,Phyllobius,maculicornis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,mundus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,nigritus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,oblongus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,prolongatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,pyri,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,rotundicollis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,urticae,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phyllobius,viridicollis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phymatapoderus,latipennis,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Phymatapoderus,pavens,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Curculionidae,Phytobius,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Curculionidae,Phytoscaphus,inductus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Phytoscaphus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Curculionidae,Pissodes,OP27O,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,OYT3O,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Pissodes,affinis,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,affinis curriei    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,approximatus,gonochorous,,,,,,32
Coleoptera,Curculionidae,Pissodes,approximatus canadensis    ,gonochorous,,,,,,32
Coleoptera,Curculionidae,Pissodes,dubius,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,dubius fraseri    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,dubius piperi    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,fasciatus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,fiskei,gonochorous,XY,Xyp,male heterogametic,,24,25
Coleoptera,Curculionidae,Pissodes,gyllenhali,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Curculionidae,Pissodes,memorensis,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,nitidus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,notatus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,obscurus,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Pissodes,radiatae,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,rotundatus,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,rotundatus alascensis    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,rotundatus nigrae    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,schwarzi,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Pissodes,schwarzi yosemite    ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Curculionidae,Pissodes,similis,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,similis utahensis    ,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,strobi,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Pissodes,strobi engelmanni    ,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Pissodes,strobi sitchensis    ,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Pissodes,terminalis,gonochorous,XY,Xyp,male heterogametic,,28,29
Coleoptera,Curculionidae,Pissodes,validirostris,gonochorous,XY,Xyp,male heterogametic,,30,30
Coleoptera,Curculionidae,Pissodes,webbi,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Curculionidae,Platymycterus,himalayanus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Platymycterus,moestus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Platymycterus,sjostedti,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Platymycterus,sp.,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Plintini,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Podapion,gallicola,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Podeschrus,abietis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,amoenus,gonochorous,,,,,,22
Coleoptera,Curculionidae,Polydrusus,atomarius,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,calabricus,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Curculionidae,Polydrusus,impressifrons,gonochorous,,,,,,20
Coleoptera,Curculionidae,Polydrusus,inustus,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Polydrusus,marginatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,mollis,parthenogenetic,,,,,33,
Coleoptera,Curculionidae,Polydrusus,mollis,parthenogenetic,,,,,22,
Coleoptera,Curculionidae,Polydrusus,mollis,parthenogenetic,,,,,31,
Coleoptera,Curculionidae,Polydrusus,mollis,gonochorous,,,,,,
Coleoptera,Curculionidae,Polydrusus,pilosus,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,ruficornis,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,sericeus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,sicanus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Polydrusus,undatus,gonochorous,,,,,22,
Coleoptera,Curculionidae,Polydrusus,viridicintus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Procas,biguttatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Curculionidae,Procas,biguttatus,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Curculionidae,Proctorus,decipiens,gonochorous,,,,,,22
