clade,species,haploid_number,citation
Asteraceae,Cousinia crispa,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia cymbolepis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia elburzensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia eryngioides,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia esfandiarii,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia farsistanica,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia glaucopsis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia hamadanensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia harazensis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia heliantha,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia hypoleuca,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia hypopolia,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia iranica,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia keredjensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia khorramabadensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia lactiflora,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia lasiandra,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia leptolepis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia lucida,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia meshhedensis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia multiloba,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia nekarmanica,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia odontolepis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia oligocephala,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia onopordioides,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia pergamacea,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia phyllocephala,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia pichleriana,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia pinarocephala,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia piptocephala,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia platyptera,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia prasina,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia prolifera,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia pterocaulos,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia raphiostegia,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia recurvata,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia renominata,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia sheidaii,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia stahliana,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia stocksii,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia straussii,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia tabrisiana,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia tenuiramula,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia thamnodes,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia trachylepis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia trachyphyllaria,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia urumiensis,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia wilhelminae,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia xiphiolepis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cousinia zardkuhensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Craspedia glauca,44,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Craspedia uniflora,70,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crassocephalum vitellinum,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crassocephalum bougheyanum,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crassocephalum crepidioides,20,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crassocephalum montuosum,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crassocephalum rubens,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cremanthodium reniforme,29,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum platyphyllum,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum akagii,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum chelidoniifolium,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum denticulatum,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum keiskeanum,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum lanceolatum,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum saxatile,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidiastrum sonchifolium,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepidifolium tenuifolium,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis alpina,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis fraasii,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis pyrenaica,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis sibirica,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis mollis,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis pusilla,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis runcinata,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis bulbosa,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis bellidifolia,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis canariensis,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis neglecta,2,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis biennis,20,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis capillaris,3,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis pygmaea,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis paludosa,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis lyrata,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis aurea,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis micrantha,3,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis oporinoides,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis aspera,8,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis hookeriana,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis multicaulis,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis newii,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis albida,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis amplexifolia,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis bithynica,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis bungei,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis bursifolia,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis chrysantha,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis conyzifolia,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis foetida,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis fuliginosa,3,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis jacquinii,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis kotschyana,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis lampsanoides,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis nicaeensis,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis pannonica,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis pontana,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis rubra,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis sancta,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis sibthorpiana,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis tectorum,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crepis vesicaria,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critonia hospitalis,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critonia morifolia,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critonia quadrangularis,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critonia sexangularis,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critoniella acuminata,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critoniopsis salicifolia,37,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critoniopsis stellata,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Critoniopsis foliosa,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crocidium multicaule,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cronquistia pringlei,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cronquistianthus chachapoyensis,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Croptilon divaricatum,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Croptilon hookerianum,2,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Croptilon rigidifolium,5,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crossostephium chinense,2,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crossothamnus weberbaueri,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crupina vulgaris,15,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Crupina crupinastrum,14,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cuchumatanea steyermarkii,8,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Culcitium canescens,20,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cuniculotinus gramineus,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanthillium conyzoides,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanthillium albicans,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanthillium cinereum,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanthillium patulum,20,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanthillium stelluliferum,8,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanus segetum,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanus triumfettii,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanus depressus,8,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyanus lingulatus,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyathocline lutea,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyathocline purpurea,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cymophora pringlei,8,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cymophora hintonii,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cymophora accedens,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cynara cardunculus,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Cyrtocymura scorpioides,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia linearis,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia mollis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia apiculata,36,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia dissecta,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia pteropoda,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia australis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia rupicola,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia atropurpurea,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia scapigera,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia tenuis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia imperialis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia pinnata,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia sherffii,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia brevis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia campanulata,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia cardiophylla,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia coccinea,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia excelsa,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia hjertingii,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia lehmannii,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia merckii,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia parvibracteata,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia rudis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia sorensenii,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia tenuicaulis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia tubulata,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dahlia yuarezii,32,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Damnamenia vernicosa,54,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Damnxanthodium calvum,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Daveaua anthemoides,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Decachaeta incompta,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Decachaeta perornata,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Decachaeta pyramidalis,16,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Decazesia hecatocephala,14,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra palmeri,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra corymbosa,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra frutescens,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra arida,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra bacigalupii,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra clementina,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra conjugens,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra greeneana,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra halliana,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra increscens,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra kellogii,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra lobbii,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra martirensis,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra minthornii,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra mohavensis,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra pallida,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra pentactis,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Deinandra streetsii,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Delairea odorata,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Delilia biflora,12,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Delwiensia pattersonii,7,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema morii,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema ×,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema indicum,15,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema japonicum,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema aphrodite,27,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema arisanense,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema chanetii,27,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema crassum,45,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema lavandulifolium,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema naktongense,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema occidentali-japonense,2,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema okiense,15,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema oreastrum,27,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema ornatum,2,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema pacificum,45,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema rupestre,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendranthema shiwogiku,36,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrophorbium reflexum,49,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio adnivalis,50,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio cheranganiensis,50,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio elgonensis,50,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio erici-rosenii,50,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio keniensis,52,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendrosenecio keniodendron,52,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendroseris micrantha,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendroseris macrantha,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendroseris litoralis,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendroseris neriifolia,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dendroviguiera eriophora,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Desmanthodium fruticosum,17,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Desmanthodium perfoliatum,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diaperia multicaulis,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diaperia candida,7,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diaperia verna,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diaspananthus uniflorus,13,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dichaetophora campestris,3,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dichrocephala bicolor,6,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dichrocephala integrifolia,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dichrocephala chrysanthemifolia,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dichrocephala auriculata,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dicoma tomentosa,11,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dicoma schimperi,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dicoria canescens,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dicranocarpus parviflorus,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dieteria canescens,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dieteria asteroides,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dieteria bigelovii,4,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Digitacalia chiapensis,30,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Digitacalia crypta,30,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Digitacalia napeifolia,30,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dimeresia howellii,7,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dimorphotheca acutifolia,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dimorphotheca barberae,19,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dimorphotheca pluvialis,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Dimorphotheca sinuata,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium glandulosum,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium wurdackii,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium macrocephalum,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium ericoides,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium callilepis,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium hartwegii,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium jaramilloi,18,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Diplostephium konotrichum,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Distephanus biafrae,9,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Distephanus divaricatus,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Distephanus garnierianus,30,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
Asteraceae,Disynaphia halimifolia,10,Chromosome Counts Database (CCDB). https://ccdb.tau.ac.il/
