,Canada,Lithuania,Switzerland,Argentina,Ghana,Saudi.Arabia,Slovenia,Spain,Oman,New.Zealand,United.Arab.Emirates,Uruguay,India,Kenya,Turkey,Hungary,France,Norway,China,Finland,Sweden,Bulgaria,Romania,South.Africa,Cyprus,Qatar,Malaysia,Austria,Japan,Brazil,Costa.Rica,Luxembourg,Ireland,Pakistan,Nigeria,Ecuador,Czech.Republic,Brunei,Australia,Iran,Chile,Belgium,Thailand,Georgia,Poland,Portugal,Estonia,Lebanon,South.Korea,Taiwan,Italy,USA,Netherlands,Israel,Indonesia,Germany,Denmark,Sri.Lanka,Mexico,Egypt,Singapore,Serbia,United.Kingdom,Greece,Russia,Yemen,Kazakhstan,Kuwait,Tanzania,Slovakia,Algeria,Tunisia,Colombia,Nepal,Cameroon,Vietnam,Venezuela,Iraq,Botswana,Bangladesh,Zimbabwe,Philippines,Croatia,Ukraine,Jordan,Mauritius,Ethiopia,Uganda,Iceland,Latvia,Bosnia.and.Herzegovina,Morocco,Malta,Senegal,Papua.New.Guinea,Albania,Peru,Bahrain,Macedonia,Cambodia,Jamaica,Belarus,Zambia,Malawi,Kyrgyzstan,Trinidad.and.Tobago,Armenia,Sudan,Syria,Cuba,Moldova,Namibia
Brunei,14371,9542,10956,16646,12655,7551,10421,12019,6358,7910,6778,16582,4731,8663,8982,10050,11249,10361,3849,9559,9952,9776,9534,9845,8926,7126,1451,10245,4268,17741,17368,10925,11584,5355,12294,18456,10339,38.80257557,5681,7288,16782,11038,1823,7971,9846,12543,9573,8720,3831,2398,10669,15040,10936,8779,1458,10363,10358,3858,15443,9110,1262,9985,11276,9781,8767,7781,5648,7496,8441,10184,11618,10995,18589,3995,11430,1121,18375,7900,10070,3315,9478,1269,10323,9202,8665,6790,8389,9133,11580,9617,10158,12576,10611,14341,3919,10076,18472,7126,9928,1305,17202,9401,9718,9145,5749,18260,7998,9015,8643,16417,9320,10960
Australia,16084,15223,16593,11806,15398,12577,16043,17555,11501,2334,11905,11883,10287,11946,14456,15685,16920,15986,8901,15193,15592,15310,15116,10876,14272,12271,6503,15896,7850,14157,13950,16601,17231,10957,15251,13723,16010,5681,1421.272496,12756,11374,16717,7403,13518,15524,18044,15219,14009,8333,7272,16178,15923,16616,14022,5392,16044,16031,8548,13164,14244,6177,15566,16956,15194,14444,12302,11327,12740,11384,15834,16957,16322,14426,9618,14384,6770,15411,13251,11122,8935,11289,6212,15927,14870,13881,8871,12435,12399,16722,15290,15716,17788,15927,17317,2893,15581,12868,12293,15458,6925,15104,15082,11635,11369,11429,15901,13542,13349,13936,14889,14955,11893
Iran,9611,2915,3867,13737,6218,1306,3316,4813,1501,15087,1262,13541,2558,4293,1710,2989,4252,3977,5641,3368,3605,2554,2375,7115,1650,1065,6265,3221,7727,11778,13165,3986,4872,1987,5878,13525,3405,7288,12756,674.8216814,14750,4120,5471,807,3047,5327,3303,1488,6594,6708,3432,10233,4112,1579,7364,3535,3706,4332,13193,1968,6591,2817,4422,2497,2463,2345,2373,752,4749,3161,4338,3708,12823,3323,5438,6168,11836,698,7099,3986,6187,7258,3186,2376,1508,6159,3178,4365,5739,3117,2960,5294,3323,7212,11105,2832,14242,1006,2703,5984,11975,2735,6075,5674,2149,11320,825,2913,1413,11907,2302,7305
Chile,8725,13294,11756,1131,8549,13907,12232,10640,14943,9390,14616,1346,16903,11559,13304,12604,11558,12643,19083,13428,13027,12683,12979,9285,13182,14380,16571,12456,17197,3057,4993,11894,11397,16637,8899,3767,12432,16782,11374,14750,444.1821655,11802,17610,14318,12948,10137,13392,13285,18337,18509,11842,8015,11947,13181,15651,12467,12552,15732,6577,12786,16399,12564,11618,12522,14083,13199,16999,14227,11461,12512,10836,11371,4207,17607,9461,17512,4805,14052,9149,17854,10013,17586,12290,13500,13244,11952,12342,11226,11606,13277,12371,9926,11696,7691,13836,12373,2425,14410,12542,17517,5711,13401,9924,10502,16813,4958,14289,12131,13356,6368,13285,8499
Belgium,5712,1505,495,11195,5020,4653,880,1278,5531,18757,5173,11077,6472,6465,2542,1139,266,1081,8080,1697,1323,1707,1776,8680,2876,4830,10265,903,9580,8837,9044,136,806,5789,4894,9488,725,11038,16717,4120,11802,89.25571821,9322,3320,1193,1711,1635,3169,8811,9637,1190,6246,219,3214,11405,676,781,8450,9269,3170,10588,1389,313,2036,2294,5285,5396,4327,7091,961,1559,1623,8785,7111,5266,9947,7819,3766,8511,7791,7908,10594,1034,1857,3362,9381,5552,6170,2177,1476,1329,2098,1786,4463,14314,1561,10416,4792,1594,9795,7855,1638,7615,7581,5289,7369,3299,4654,3225,7819,1826,8111
Thailand,13500,7852,9198,16855,10986,5749,8654,10236,4556,9684,4973,16689,2920,7186,7171,8289,9517,8747,3283,7950,8330,7979,7749,8886,7104,5315,1126,8494,4633,16567,17386,9202,9930,3564,10620,18541,8608,1823,7403,5471,17610,9322,365.9166052,6170,8132,10758,7949,6897,3744,2582,8871,14227,9240,6956,2236,8655,8686,2392,15791,7289,1388,8201,9579,7966,7099,6060,4009,5675,7078,8432,9807,9179,17944,2215,9816,720,17085,6077,9072,1532,8329,2216,8548,7468,6843,5955,6744,7622,10152,7953,8369,10764,8792,12542,5723,8275,19707,5313,8131,521,16536,7700,8508,7914,4072,16689,6196,7286,6819,15962,7557,9874
Georgia,8818,2122,3086,13383,5913,1790,2534,4072,2287,15838,1998,13201,3252,4639,1033,2196,3460,3185,5949,2614,2823,1810,1598,7437,1157,1725,7015,2425,7959,11282,12363,3186,4067,2617,5597,12762,2602,7971,13518,807,14318,3320,6170,134.8618261,2241,4592,2540,1137,6877,7171,2702,9433,3307,1268,8130,2729,2901,5137,12406,1658,7341,2048,3619,1837,1751,2783,2692,1263,5159,2364,3652,3045,12058,3977,5300,6850,11076,785,7387,4656,6510,7833,2411,1575,1275,6810,3506,4621,4954,2333,2205,4610,2679,6659,11708,2106,13549,1672,1962,6674,11174,1942,6353,6020,2496,10577,29,3020,1087,11101,1497,7471
Poland,6599,367,1201,12276,5567,3794,827,2314,4518,17667,4197,12143,5299,6077,1695,572,1409,1023,6999,916,803,1119,963,8596,2123,3881,9088,564,8645,9942,10150,1079,1851,4611,5365,10657,517,9846,15524,3047,12948,1193,8132,2241,285.6424165,2811,810,2401,7784,8513,1377,7197,1114,2486,10235,524,663,7368,10190,2587,9410,885,1450,1572,1138,4588,4208,3380,6684,530,2277,1971,9956,5923,5513,8755,8998,2815,8468,6602,7739,9429,860,688,2621,8755,5039,5875,2778,492,1014,3076,1874,5432,13207,1221,11608,3836,1115,8602,8964,454,7489,7337,4098,8557,2225,4234,2437,8861,786,8238
Portugal,5419,3161,1623,9491,3789,5468,2133,523,6545,19527,6139,9369,7843,6402,3617,2507,1449,2731,9784,3407,3027,2782,3010,8031,3777,5774,11591,2332,11271,7140,8010,1780,1677,7195,3775,8206,2294,12543,18044,5327,10137,1711,10758,4592,2811,155.1304237,3345,4036,10521,11322,1895,5759,1895,4022,12677,2344,2491,9497,8681,3804,11918,2558,1618,2859,3948,5792,6975,5307,7005,2391,1100,1725,7507,8552,4418,11427,6517,4804,7816,9235,7423,12229,2222,3387,4163,9493,5756,5995,3000,3169,2389,591,2118,2791,16013,2495,8964,5752,2631,11257,6849,3264,7090,7223,6843,5994,4566,4823,4110,7014,3230,7220
Estonia,6331,556,1844,12826,6357,4260,1601,2896,4803,17124,4536,12710,5251,6761,2291,1382,1896,798,6450,108,381,1890,1672,9354,2745,4261,8974,1342,7969,10463,10094,1572,2015,4556,6165,10746,1196,9573,15219,3303,13392,1635,7949,2540,810,3345,108.6390454,2995,7176,8024,2165,6981,1462,3100,10131,1045,856,7497,9897,3267,9286,1687,1780,2340,898,5147,3945,3781,7354,1320,2995,2758,10058,5786,6322,8521,9140,3239,9235,6445,8480,9021,1658,1067,3221,9290,5686,6594,2456,329,1824,3702,2682,6076,12684,2025,11810,4209,1907,8387,8930,688,8242,8059,3879,8758,2532,4934,3016,8725,1367,9035
Lebanon,8878,2461,2790,12305,4801,1492,2290,3550,2509,16325,2105,12116,4015,3794,710,2074,3221,3424,7045,3093,3162,1462,1460,6506,293,1741,7610,2305,9082,10293,12032,3034,3973,3472,4477,12213,2550,8720,14009,1488,13285,3169,6897,1137,2401,4036,2995,52.21926949,7984,8185,2202,9411,3235,136,8659,2750,3026,5463,12435,523,7933,1781,3481,1200,2451,2188,3767,1273,4371,2258,2978,2335,11522,4794,4164,7605,10532,823,6428,5445,5595,8742,2137,1930,225,6354,2696,3686,5155,2702,1850,3914,1937,5729,12577,1645,12812,1717,1579,7416,10858,2308,5400,5136,3557,9982,1112,2024,78,10927,1646,6424
South.Korea,10568,7418,8975,19402,12785,7588,8579,10066,6631,9948,6925,19565,4704,10085,7825,8230,9073,7823,959,7114,7498,8301,7987,12375,8034,7123,4583,8329,1173,17504,13845,8747,9028,4865,12458,15118,8289,3831,8333,6594,18337,8811,3744,6877,7784,10521,7176,7984,161.7632298,1433,9054,11218,8629,8102,5227,8197,8030,5876,12073,8503,4656,8349,8926,8549,6671,8376,4228,7204,10202,8281,10037,9593,14873,4042,12012,3560,14567,7285,12515,3808,11655,2624,8557,7353,8065,9631,9253,10398,8437,7371,8545,10856,9324,13215,5545,8598,16333,7086,8426,3641,13393,7352,11742,11165,4447,14627,6905,9374,7921,12638,7632,13167
Taiwan,11992,8161,9711,18999,12863,7459,9247,10827,6355,9156,6716,18972,4397,9530,8189,8877,9887,8746,1645,7980,8378,8812,8515,11458,8300,6986,3248,9018,2070,18437,15211,9552,9988,4770,12505,16476,9030,2398,7272,6708,18509,9637,2582,7171,8513,11322,8024,8185,1433,96.76471445,9649,12648,9482,8284,3803,8981,8874,4917,13374,8675,3280,8927,9804,8973,7376,8068,4496,7187,9520,8963,10655,10125,16289,3623,11870,2235,15996,7403,11636,3163,10858,1217,9194,7980,8215,8534,8880,9916,9610,8162,9120,11556,9800,13805,4695,9122,17568,6961,8953,2353,14822,8062,11009,10415,4678,16026,7200,9203,8113,14058,8204,12406
Italy,6793,1728,703,11064,4193,3683,566,1382,4693,18511,4299,10914,5953,5277,1725,841,1127,2007,8219,2264,2029,893,1151,7526,1924,3938,9697,823,9970,8789,9837,1087,1946,5314,4002,10097,1003,10669,16178,3432,11842,1190,8871,2702,1377,1895,2165,2202,9054,9649,280.4148693,7273,1354,2213,10790,1220,1554,7652,10287,2082,10024,722,1464,1002,2399,4190,5191,3454,5903,849,1006,595,9396,6674,4224,9549,8407,2929,7368,7355,6734,10449,520,1701,2360,8223,4386,4980,3367,1865,530,1937,607,4183,14313,600,10848,3911,741,9375,8659,1744,6448,6396,5037,7888,2676,3476,2271,8731,1445,7027
USA,731,7320,6629,8318,8540,10899,7122,6105,11715,14058,11388,8382,12106,12116,8782,7368,6194,6260,11236,6934,6647,7952,8006,12989,9119,11059,15350,7130,10960,6722,3282,6381,5445,11431,8744,4314,6905,15040,15923,10233,8015,6246,14227,9433,7197,5759,6981,9411,11218,12648,7273,1601.705842,6198,9449,16337,6739,6535,14469,3024,9355,15572,7635,5932,8244,7873,11457,10540,10554,12691,7183,6824,7377,3808,12451,9657,14478,3349,9988,12730,13000,12721,13834,7275,7858,9598,15205,11513,11674,4526,7126,7562,6187,7727,6400,14497,7777,5651,11017,7833,14454,2315,7500,12375,12690,10566,3494,9418,10577,9470,1813,7970,11858
Netherlands,5645,1394,684,11364,5239,4709,971,1482,5547,18564,5199,11249,6413,6613,2584,1170,474,866,7912,1517,1132,1777,1808,8868,2942,4863,10203,933,9383,9001,9059,270,762,5726,5112,9543,711,10936,16616,4112,11947,219,9240,3307,1114,1895,1462,3235,8629,9482,1354,6198,104.1132235,3288,11349,592,608,8444,9217,3270,10524,1456,340,2137,2173,5377,5288,4359,7237,985,1778,1820,8842,7034,5475,9854,7884,3794,8702,7712,8087,10457,1125,1797,3435,9497,5678,6329,2024,1334,1424,2304,1958,4663,14146,1665,10503,4823,1677,9705,7871,1540,7797,7750,5190,7449,3288,4790,3288,7805,1810,8316
Israel,8926,2562,2821,12193,4683,1470,2334,3544,2529,16327,2118,12003,4086,3677,809,2136,3255,3508,7161,3200,3256,1511,1535,6379,363,1752,7649,2364,9205,10199,12027,3080,4019,3557,4357,12180,2612,8779,14022,1579,13181,3214,6956,1268,2486,4022,3100,136,8102,8284,2213,9449,3288,75.88812338,8687,2818,3102,5474,12472,401,7972,1832,3525,1214,2575,2109,3881,1303,4259,2319,2953,2310,11492,4869,4032,7667,10503,897,6299,5515,5470,8824,2179,2038,149,6272,2586,3561,5228,2803,1888,3879,1912,5650,12648,1673,12753,1733,1620,7475,10857,2412,5271,5013,3669,9947,1243,1896,183,10944,1743,6290
Indonesia,15629,9983,11215,15291,11897,7303,10663,12171,6161,7725,6577,15200,4936,7779,9066,10316,11574,10928,5110,10141,10509,9918,9728,8562,8907,6943,1158,10536,5725,16343,18715,11278,12070,5624,11557,19111,10681,1458,5392,7364,15651,11405,2236,8130,10235,12677,10131,8659,5227,3803,10790,16337,11349,8687,706.147051,10757,10826,3284,16820,8958,853,10176,11683,9820,9259,7285,6218,7387,7453,10475,11637,10994,19815,4346,10626,1867,19190,7875,8800,3690,8303,2726,10541,9553,8554,5522,7732,8271,12385,10106,10324,12565,10595,13860,4472,10191,17952,6958,10066,1913,18615,9821,8576,8032,6260,18604,8154,8493,8583,17861,9593,9716
Germany,6162,831,799,11834,5365,4196,676,1870,4986,18132,4649,11708,5822,6291,2069,689,909,803,7441,1128,826,1333,1292,8691,2460,4322,9612,492,9012,9484,9644,574,1341,5134,5196,10135,237,10363,16044,3535,12467,676,8655,2729,524,2344,1045,2750,8197,8981,1220,6739,592,2818,10757,305.3780159,342,7865,9748,2853,9933,1026,927,1750,1621,4926,4720,3818,6909,519,1958,1792,9433,6447,5445,9275,8474,3251,8544,7126,7867,9923,796,1205,2961,9079,5300,6047,2412,827,1064,2665,1804,5038,13668,1310,11085,4279,1269,9124,8456,962,7596,7495,4615,8034,2710,4448,2796,8374,1237,8238
Denmark,5936,844,1060,11970,5667,4446,1017,2052,5181,17976,4860,11854,5899,6617,2331,1004,1044,462,7306,916,552,1645,1567,9032,2741,4543,9673,827,8805,9608,9511,730,1245,5206,5508,10062,577,10358,16031,3706,12552,781,8686,2901,663,2491,856,3026,8030,8874,1554,6535,608,3102,10826,342,105.8309323,8018,9527,3161,9992,1348,935,2074,1592,5211,4711,4042,7233,847,2230,2115,9364,6492,5777,9286,8420,3476,8885,7164,8206,9855,1137,1333,3242,9373,5614,6380,2131,741,1400,2867,2143,5238,13540,1644,11062,4499,1593,9142,8329,1011,7937,7831,4622,8005,2885,4773,3068,8207,1445,8577
Sri.Lanka,13789,7197,8168,14719,8803,4046,7624,9013,2959,10864,3358,14523,2455,4836,5957,7314,8570,8242,5176,7540,7842,6824,6687,6552,5731,3723,2442,7549,6901,14195,17485,8315,9204,3082,8445,17505,7738,3858,8548,4332,15732,8450,2392,5137,7368,9497,7497,5463,5876,4917,7652,14469,8444,5474,3284,7865,8018,130.8451609,17156,5713,2720,7113,8753,6655,6601,4014,4113,4198,4692,7489,8421,7780,16879,2403,7572,2995,15916,4728,6722,2206,5948,4583,7486,6686,5335,3782,4544,5293,9946,7374,7235,9322,7383,10622,7663,7068,17378,3746,6965,2801,16298,7020,6118,5524,4031,15320,5157,5237,5390,16217,6635,7496
Mexico,3591,10284,9652,7341,10786,13922,10146,9071,14692,11086,14387,7492,14703,14797,11801,10387,9217,9221,12518,9838,9589,10975,11024,14601,12143,14068,16621,10150,11320,6816,1925,9404,8467,14098,11074,3122,9921,15443,13164,13193,6577,9269,15791,12406,10190,8681,9897,12435,12073,13374,10287,3024,9217,12472,16820,9748,9527,17156,715.9544598,12368,16612,10658,8956,11265,10766,14453,13043,13565,15281,10202,9772,10355,3169,14803,12037,15607,3605,12998,14356,15156,14756,14240,10298,10834,12621,17581,14405,14312,7454,10077,10586,9042,10718,8630,12787,10800,4261,14025,10857,15708,2354,10464,14451,14937,13130,4167,12393,13487,12493,1788,10971,13429
Egypt,8864,2715,2739,11793,4283,1669,2300,3350,2802,16511,2382,11603,4445,3498,1020,2164,3177,3591,7561,3371,3381,1520,1625,6128,588,2019,7945,2375,9604,9814,11810,3041,3971,3935,3956,11898,2632,9110,14244,1968,12786,3170,7289,1658,2587,3804,3267,523,8503,8675,2082,9355,3270,401,8958,2853,3161,5713,12368,511.1958062,8265,1833,3475,1134,2832,2118,4282,1614,4099,2338,2714,2080,11218,5233,3647,8004,10233,1275,6033,5869,5232,9194,2145,2229,463,6233,2455,3332,5259,2955,1846,3611,1689,5288,12999,1609,12418,2008,1597,7810,10654,2582,5015,4796,4069,9664,1632,1667,582,10786,1901,5975
Singapore,14850,9150,10419,15901,11503,6633,9867,11404,5463,8499,5885,15782,4118,7449,8300,9514,10766,10083,4417,9293,9665,9142,8939,8595,8170,6247,326,9730,5306,16508,18490,10463,11237,4800,11149,19717,9866,1262,6177,6591,16399,10588,1388,7341,9410,11918,9286,7933,4656,3280,10024,15572,10524,7972,853,9933,9992,2720,16612,8265,13.697367,9390,10860,9071,8418,6724,5366,6669,7199,9668,10904,10263,19331,3503,10254,1126,18407,7134,8816,2841,8216,2378,9750,8732,7844,5543,7259,7927,11532,9267,9544,11846,9866,13335,4944,9423,18779,6257,9292,1120,17886,8991,8456,7885,5411,17910,7366,7952,7856,17232,8786,9701
Serbia,7097,1167,1056,11780,4771,3264,517,2035,4170,17883,3799,11628,5291,5269,1163,346,1465,1797,7505,1794,1670,321,452,7726,1488,3451,9063,542,9289,9511,10373,1254,2192,4638,4545,10716,800,9985,15566,2817,12564,1389,8201,2048,885,2558,1687,1781,8349,8927,722,7635,1456,1832,10176,1026,1348,7113,10658,1833,9390,151.8450016,1702,726,1730,3926,4472,2950,5886,507,1728,1247,10012,5993,4641,8869,9028,2396,7592,6676,6880,9733,373,1005,1979,8065,4275,5037,3427,1360,196,2652,1045,4900,13593,338,11522,3415,245,8699,9185,1129,6622,6493,4321,8530,2024,3425,1837,9190,725,7353
United.Kingdom,5401,1734,761,11052,5112,4966,1192,1258,5840,18817,5484,10942,6747,6740,2855,1449,365,1114,8225,1827,1433,2020,2087,8897,3188,5142,10538,1211,9654,8686,8744,449,496,6061,5009,9210,1017,11276,16956,4422,11618,313,9579,3619,1450,1618,1780,3481,8926,9804,1464,5932,340,3525,11683,927,935,8753,8956,3475,10860,1702,252.1274914,2342,2512,5592,5628,4639,7366,1268,1678,1842,8507,7373,5434,10194,7548,4077,8721,8051,8144,10790,1346,2130,3674,9677,5844,6432,1923,1670,1639,2074,2044,4405,14456,1868,10163,5104,1906,10045,7555,1880,7845,7831,5530,7109,3599,4939,3538,7510,2122,8288
Greece,7738,1791,1616,11647,4365,2684,1166,2361,3697,17519,3299,11478,5050,4543,806,1071,2053,2522,7658,2448,2372,453,702,7025,924,2937,8745,1261,9560,9470,10836,1907,2838,4442,4101,11061,1520,9781,15194,2497,12522,2036,7966,1837,1572,2859,2340,1200,8549,8973,1002,8244,2137,1214,9820,1750,2074,6655,11265,1134,9071,726,2342,185.5640319,2170,3250,4477,2457,5160,1231,1842,1215,10364,5798,4073,8660,9374,1945,6900,6470,6169,9670,1012,1445,1363,7361,3555,4315,4138,2012,713,2798,842,4837,13545,475,11748,2911,481,8478,9659,1704,5917,5773,4298,8840,1809,2699,1269,9730,1085,6704
Russia,7215,791,2337,13408,6486,3530,1909,3452,3956,16530,3718,13271,4360,6236,1812,1563,2530,1677,5869,939,1261,1782,1477,8951,2255,3469,8103,1661,7572,11079,10992,2195,2831,3664,6244,11623,1654,8767,14444,2463,14083,2294,7099,1751,1138,3948,898,2451,6671,7376,2399,7873,2173,2575,9259,1621,1592,6601,10766,2832,8418,1730,2512,2170,2112.265366,4486,3119,3014,6799,1611,3367,2967,10931,4915,6239,7694,9999,2507,8864,5583,8044,8302,1890,739,2668,8560,5122,6135,3347,854,1918,4204,2769,6546,12070,2031,12652,3414,1869,7551,9825,688,7841,7586,3031,9595,1749,4469,2451,9622,1088,8786
Yemen,10981,4631,4857,12080,4930,1040,4410,5385,1747,14465,1472,11867,3705,1959,2894,4241,5294,5611,7429,5239,5340,3606,3644,4775,2470,1377,6431,4464,9549,10622,13670,5156,6088,3528,4563,13491,4716,7781,12302,2345,13199,5285,6060,2783,4588,5792,5147,2188,8376,8068,4190,11457,5377,2109,7285,4926,5211,4014,14453,2118,6724,3926,5592,3250,4486,371.173763,4415,1601,2406,4421,4694,4100,12872,4451,3815,6768,11929,1998,4770,4928,3850,8218,4255,4082,1969,4167,898,2102,7337,4870,3958,5489,3736,6611,11663,3724,13655,1431,3700,6563,12572,4469,3758,3333,4187,11320,2776,1234,2152,12804,3825,5060
Kazakhstan,9822,3895,5357,16070,8564,3481,4846,6458,2808,13495,2959,15883,1663,6333,3697,4471,5616,4742,3280,3943,4326,4331,4043,9064,3842,3053,5063,4644,5354,13946,13813,5287,5944,1162,8232,14639,4711,5648,11327,2373,16999,5396,4009,2692,4208,6975,3945,3767,4228,4496,5191,10540,5288,3881,6218,4720,4711,4113,13043,4282,5366,4472,5628,4477,3119,4415,843.2339636,3027,6655,4585,6193,5638,13970,1919,7810,4579,13076,3058,9104,2534,8172,5263,4771,3590,3839,7287,5311,6518,6184,3971,4661,7124,5306,9311,9123,4642,15755,3005,4475,4442,12719,3759,8133,7645,230,12703,2721,5234,3701,12353,3762,9472
Kuwait,9976,3325,3997,13169,5682,562,3467,4817,1240,15062,850,12966,2858,3542,1787,3192,4415,4374,6245,3860,4039,2646,2553,6365,1533,504,6347,3431,8355,11345,13291,4191,5117,2417,5329,13483,3650,7496,12740,752,14227,4327,5675,1263,3380,5307,3781,1273,7204,7187,3454,10554,4359,1303,7387,3818,4042,4198,13565,1614,6669,2950,4639,2457,3014,1601,3027,68.19091166,4007,3375,4250,3607,12794,3653,4808,6391,11804,567,6347,4271,5437,7616,3321,2764,1177,5547,2426,3615,6148,3549,3054,5181,3209,6888,11390,2875,14032,465,2782,6196,12111,3148,5323,4925,2798,11250,1265,2209,1198,12141,2597,6560
Tanzania,12420,6808,6606,10339,4518,3446,6288,6752,3848,13084,3729,10126,5566,626,5065,6229,7017,7676,9320,7455,7480,5591,5724,2413,4610,3738,6990,6418,11343,9505,13777,6980,7838,5617,4214,13076,6677,8441,11384,4749,11461,7091,7078,5159,6684,7005,7354,4371,10202,9520,5903,12691,7237,4259,7453,6909,7233,4692,15281,4099,7199,5886,7366,5160,6799,2406,6655,4007,497.1831659,6390,6023,5587,12648,6165,3252,7681,11900,4377,2452,6429,1521,9274,6142,6296,4147,2513,1678,1018,9261,7048,5853,6527,5326,6653,11853,5605,12687,3796,5641,7489,12972,6666,1543,996,6437,11286,5150,2461,4360,13495,5989,2966
Slovakia,6628,888,774,11800,5041,3725,302,1877,4572,18079,4218,11661,5551,5773,1599,185,1100,1303,7477,1422,1225,819,823,8198,1966,3879,9343,62,9161,9484,10004,826,1742,4878,4844,10419,295,10184,15834,3161,12512,961,8432,2364,530,2391,1320,2258,8281,8963,849,7183,985,2319,10475,519,847,7489,10202,2338,9668,507,1268,1231,1611,4421,4585,3375,6390,113.1164421,1762,1443,9715,6217,5023,9079,8741,2812,8057,6901,7364,9839,338,996,2464,8568,4782,5533,2923,1016,558,2599,1370,4935,13656,799,11298,3840,750,8917,8814,929,7098,6985,4456,8270,2343,3930,2308,8778,882,7782
Algeria,6441,2643,1170,10065,3461,4382,1461,731,5482,19105,5070,9918,6888,5407,2636,1808,1335,2617,9216,3083,2773,1870,2150,7297,2734,4704,10579,1718,10922,7783,9097,1540,2019,6269,3338,9237,1803,11618,16957,4338,10836,1559,9807,3652,2277,1100,2995,2978,10037,10655,1006,6824,1778,2953,11637,1958,2230,8421,9772,2714,10904,1728,1678,1842,3367,4694,6193,4250,6023,1762,788.3513616,643,8544,7628,3769,10497,7554,3770,7105,8305,6601,11445,1481,2694,3089,8476,4691,5031,3518,2734,1535,958,1042,3186,15315,1561,9908,4685,1722,10317,7943,2691,6284,6342,6035,7008,3625,3755,3054,8114,2451,6626
Tunisia,6956,2320,1136,10551,3599,3745,1158,1286,4839,18564,4428,10393,6264,4963,2018,1426,1478,2556,8739,2857,2611,1313,1617,7059,2093,4061,9938,1417,10534,8313,9733,1551,2279,5655,3411,9879,1585,10995,16322,3708,11371,1623,9179,3045,1971,1725,2758,2335,9593,10125,595,7377,1820,2310,10994,1792,2115,7780,10355,2080,10263,1247,1842,1215,2967,4100,5638,3607,5587,1443,643,206.6224796,9188,7012,3672,9874,8197,3129,6888,7685,6303,10867,1112,2251,2447,7988,4166,4624,3763,2460,1053,1588,398,3682,14743,1005,10534,4042,1176,9692,8574,2327,6003,5998,5470,7650,3017,3232,2411,8723,1960,6500
Colombia,4521,10207,8973,4604,8226,12871,9526,8014,14018,12094,13600,4702,15255,12336,11120,9874,8615,9262,15021,10049,9680,10269,10460,11478,11275,13235,19031,9653,14337,3651,1251,8912,8120,14566,8569,705,9509,18589,14426,12823,4207,8785,17944,12058,9956,7507,10058,11522,14873,16289,9396,3808,8842,11492,19815,9433,9364,16879,3169,11218,19331,10012,8507,10364,10931,12872,13970,12794,12648,9715,8544,9188,545.8307101,15844,9494,18285,991,12308,11243,16499,11763,17332,9647,10637,11625,14527,12409,11847,7800,10084,9863,7614,9585,6285,15401,9995,1880,13221,10120,18251,1510,10369,11497,12047,13928,1562,12034,11660,11598,2235,10597,10332
Nepal,11729,5652,6984,16476,9269,3859,6440,8029,2733,11895,3102,16261,795,6049,4995,6074,7303,6582,3159,5796,6163,5781,5542,8416,4973,3390,3189,6279,5199,14981,15729,6989,7737,1360,8906,16529,6394,3995,9618,3323,17607,7111,2215,3977,5923,8552,5786,4794,4042,3623,6674,12451,7034,4869,4346,6447,6492,2403,14803,5233,3503,5993,7373,5798,4915,4451,1919,3653,6165,6217,7628,7012,15844,195.9733633,8247,2876,14911,3973,8529,684,7640,3965,6337,5255,4773,6024,5286,6383,8093,5765,6164,8586,6634,10519,7784,6081,17513,3371,5932,2706,14637,5496,7707,7138,1928,14479,4004,5582,4717,14264,5343,9131
Cameroon,9536,5807,4797,8373,1275,4447,4778,4382,5515,15468,5163,8167,7478,2851,4546,4941,5077,6225,11053,6428,6243,4489,4773,3617,4202,4919,10002,5015,13160,6812,10561,5210,5787,7182,963,10001,5223,11430,14384,5438,9461,5266,9816,5300,5513,4418,6322,4164,12012,11870,4224,9657,5475,4032,10626,5445,5777,7572,12037,3647,10254,4641,5434,4073,6239,3815,7810,4808,3252,5023,3769,3672,9494,8247,352.2252657,10502,8684,4764,3398,8743,3098,12010,4688,5517,4035,5651,3072,2357,7280,5999,4499,3842,3653,3407,15081,4304,9910,4951,4438,10298,9719,5751,2752,3035,7584,8064,5275,2672,4213,10257,5158,2856
Vietnam,13764,8461,9849,17011,11688,6469,9310,10904,5276,9022,5693,16880,3610,7826,7861,8941,10152,9316,3290,8514,8902,8657,8417,9360,7808,6034,1023,9140,4299,17185,17402,9831,10522,4235,11322,18673,9241,1121,6770,6168,17512,9947,720,6850,8755,11427,8521,7605,3560,2235,9549,14478,9854,7667,1867,9275,9286,2995,15607,8004,1126,8869,10194,8660,7694,6768,4579,6391,7681,9079,10497,9874,18285,2876,10502,293.8765911,17586,6784,9561,2195,8866,1596,9210,8102,7556,6359,7434,8275,10633,8547,9040,11455,9490,13262,5004,8956,19578,6032,8808,205,16783,8315,9066,8477,4665,17278,6877,7996,7528,16106,8210,10398
