Order,Family,Genus,Species,Binomial,Female2n,Male2n,B chromosomes,Sex chromosome system,Notes-sex.chrom,Notes-diploid.num,Source
Artiodactyla,Suidae,Potamochoerus,larvatus,Potamochoerus larvatus,34,34,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Potamochoerus,porcus,Potamochoerus porcus,34,34,,XY,,,Musilova et al. 2010
Artiodactyla,Suidae,Sus,barbatus,Sus barbatus,38,38,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Sus,cebifrons,Sus cebifrons,34,34,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Sus,scrofa,Sus scrofa,36,36,,XY,,,Blackmon 2019
Artiodactyla,Suidae,Sus,scrofa domestica,Sus scrofa domestica,38,38,,XY,,,Biltueva et al. 2004
Artiodactyla,Suidae,Sus,scrofa scrofa,Sus scrofa scrofa,36,36,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Tayassuidae,Catagonus,wagneri,Catagonus wagneri,20,20,,XY,,,Benirschke and Kumamoto 1989
Artiodactyla,Tayassuidae,Tayassu,albirostris,Tayassu albirostris,26,26,,XY,,,Blackmon 2019
Artiodactyla,Tayassuidae,Tayassu,pecari,Tayassu pecari,26,26,,XY,,,Benirschke and Kumamoto 1989
Artiodactyla,Tayassuidae,Tayassu,tajacu,Tayassu tajacu,30,30,,XY,,,Benirschke and Kumamoto 1989
Artiodactyla,Tragulidae,Tragulus,javanicus,Tragulus javanicus,32,32,,XY,,,Gallagher et al. 1996
Artiodactyla,Ziphiidae,Mesoplodon,carlhubbsi,Mesoplodon carlhubbsi,42,42,,XY,,,Arnason et al. 1977
Artiodactyla,Ziphiidae,Mesoplodon,europaeus,Mesoplodon europaeus,42,42,,XY,,,Arnason et al. 1977
Carnivora,Canidae,Alopex,lagopus,Alopex lagopus,50,50,,XY,,,Nash et al. 2001
Carnivora,Canidae,Atelocynus,microtis,Atelocynus microtis,74,74,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Canidae,Canis,familiaris,Canis familiaris,78,78,,XY,,,Graphodatsky et al. 2000a
Carnivora,Canidae,Canis,latrans,Canis latrans,78,78,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Canidae,Canis,lupus,Canis lupus,78,78,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Canidae,Cerdocyon,thous,Cerdocyon thous,74,74,,XY,,,Nash et al. 2001
Carnivora,Canidae,Chrysocyon,brachyurus,Chrysocyon brachyurus,76,76,,XY,,,Wayne et al. 1987a
Carnivora,Canidae,Cuon,alpinus,Cuon alpinus,78,78,,XY,,,Graphodatsky et al. 2008
Carnivora,Canidae,Fennecus,zerda,Fennecus zerda,64,64,,XY,,,Graphodatsky et al. 2008
Carnivora,Canidae,Lycaon,pictus,Lycaon pictus,38,38,,XY,,,Blackmon 2019
Carnivora,Canidae,Nyctereutes,procyonoides,Nyctereutes procyonoides,42,42,,XY,,,Blackmon 2019
Carnivora,Canidae,Nyctereutes,procyonoides procyonoides,Nyctereutes procyonoides procyonoides,54,54,yes (3),XY,,,Graphodatsky et al. (Unpublished)
Carnivora,Canidae,Nyctereutes,procyonoides viverrinus,Nyctereutes procyonoides viverrinus,38,38,yes (3),XY,,,Nash et al. 2001
Carnivora,Canidae,Otocyon,megalotis,Otocyon megalotis,72,72,,XY,,,Wayne et al. 1987a
Carnivora,Canidae,Speothos,venaticus,Speothos venaticus,74,74,,XY,,,Wayne et al. 1987a
Carnivora,Canidae,Urocyon,cinereoargenteus,Urocyon cinereoargenteus,66,66,,XY,,,Wayne et al. 1987a
Carnivora,Canidae,Vulpes,corsac,Vulpes corsac,36,36,,XY,,,Graphodatsky et al. 2008
Carnivora,Canidae,Vulpes,fulva,Vulpes fulva,34,34,,XY,,,Blackmon 2019
Carnivora,Canidae,Vulpes,lagopus,Vulpes lagopus,49,49,,XY,Chrom rearrangements,48-50,"Graphodatsky et al. 2000b, 2008a; Nash et al. 2001"
Carnivora,Canidae,Vulpes,macrotis,Vulpes macrotis,50,50,,XY,,,Wayne et al. 1987a
Carnivora,Canidae,Vulpes,vulpes,Vulpes vulpes,36,36,,XY,,,Blackmon 2019
Carnivora,Canidae,Vulpes,vulpes,Vulpes vulpes,34,34,yes (3),XY,,,Rubtsova 1998
Carnivora,Eupleridae,Cryptoprocta,ferox,Cryptoprocta ferox,42,42,,XY,,,CRES San Diego (Unpublished)
Carnivora,Eupleridae,Fossa,fossa,Fossa fossa,42,42,,XY,,,Nash et al. 2008
Carnivora,Eupleridae,Fossa,fossana,Fossa fossana,42,42,,XY,,,Nash (Unpublished)
Carnivora,Eupleridae,Galidia,elegans,Galidia elegans,44,44,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx jubatus,38,38,,XY,,,Nash (Unpublished)
Carnivora,Felidae,Caracal,caracal,Caracal caracal,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Felis,bengalensis,Felis bengalensis,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,catus,Felis catus,38,38,,XY,,,Cho et al. 1997
Carnivora,Felidae,Felis,chaus,Felis chaus,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Felis,concolor,Felis concolor,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,geoffroyi,Felis geoffroyi,36,36,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,lynx,Felis lynx,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,manul,Felis manul,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,margarita,Felis margarita,38,38,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Felidae,Felis,marmorata,Felis marmorata,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,nigripes,Felis nigripes,38,38,,XY,,,Nash (Unpublished)
Carnivora,Felidae,Felis,pardalis,Felis pardalis,36,36,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,serval,Felis serval,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,silvestris,Felis silvestris,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,viverrina,Felis viverrina,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,wiedi,Felis wiedi,36,36,,XY,,,Blackmon 2019
Carnivora,Felidae,Felis,yagouaroundi,Felis yagouaroundi,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Herpailurus,yagouaroundi,Herpailurus yagouaroundi,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Leopardus,colocolo,Leopardus colocolo,36,36,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Leopardus,geoffroyi,Leopardus geoffroyi,36,36,,XY,,,Nash (Unpublished)
Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,36,36,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Felidae,Leopardus,tigrinus,Leopardus tigrinus,38,38,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Felidae,Leopardus,tigrinus,Leopardus tigrinus,36,36,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Felidae,Leptailurus,serval,Leptailurus serval,38,38,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Felidae,Lynchailurus,colocolo,Lynchailurus colocolo,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Lynx,lynx,Lynx lynx,38,38,,XY,,,Nie et al. 2012
Carnivora,Felidae,Lynx,rufus,Lynx rufus,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Neofelis,nebulosa,Neofelis nebulosa,38,38,,XY,,,Tian et al. 2004
Carnivora,Felidae,Neofelis,nebulosa diardi,Neofelis nebulosa diardi,38,38,,XY,,,Nash (Unpublished)
Carnivora,Felidae,Octocolobus,manul,Octocolobus manul,38,38,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Felidae,Panthera,leo,Panthera leo,38,38,,XY,,,Tian et al. 2004
Carnivora,Felidae,Panthera,pardus,Panthera pardus,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Panthera,tigris,Panthera tigris,38,38,,XY,,,Blackmon 2019
Carnivora,Felidae,Panthera,tigris altaica,Panthera tigris altaica,38,38,,XY,,,CRES San Diego (Unpublished)
Carnivora,Felidae,Prionailurus,bengalensis,Prionailurus bengalensis,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Prionailurus,bengalensis euptilurus,Prionailurus bengalensis euptilurus,38,38,,XY,,,Proskuryakova et al. (Unpublished)
Carnivora,Felidae,Prionailurus,viverrinus,Prionailurus viverrinus,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Profelis,temmincki,Profelis temmincki,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Puma,concolor,Puma concolor,38,38,,XY,,,Wurster-Hill and Gray 1973
Carnivora,Felidae,Uncia,uncia,Uncia uncia,38,38,,XY,,,Blackmon 2019
Carnivora,Herpestidae,Atilax,paludinosus,Atilax paludinosus,36,35,,complex XY,X1X2Y,,Wurster-Hill and Gray 1975
Carnivora,Herpestidae,Bdeogale,sp.,Bdeogale sp.,36,36,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Herpestidae,Helogale,parvula,Helogale parvula,36,36,,XY,,,Nash (Unpublished)
Carnivora,Herpestidae,Herpestes,auropunctatus,Herpestes auropunctatus,36,35,,complex XY,X1X2Y,,Blackmon 2019
Carnivora,Herpestidae,Herpestes,javanicus,Herpestes javanicus,36,36,,XY,,,Yang and Nie (Unpublished)
Carnivora,Herpestidae,Suricata,suricatta,Suricata suricatta,36,36,,XY,,,Blackmon 2019
Carnivora,Hyaenidae,Crocuta,crocuta,Crocuta crocuta,40,40,,XY,,,Perelman et al. 2005
Carnivora,Hyaenidae,Hyaena,brunnea,Hyaena brunnea,40,40,,XY,,,Blackmon 2019
Carnivora,Hyaenidae,Parahyaena,brunnea,Parahyaena brunnea,40,40,,XY,,,Perelman and Graphodatsky (Unpublished)
Carnivora,Hyaenidae,Proteles,cristatus,Proteles cristatus,40,40,,XY,,,Blackmon 2019
Carnivora,Mephitidae,Conepatus,leuconotus,Conepatus leuconotus,46,46,,XY,,,Perelman et al. 2008
Carnivora,Mephitidae,Mephitis,macroura,Mephitis macroura,50,50,,XY,,,Perelman et al. 2008
Carnivora,Mephitidae,Mephitis,mephitis,Mephitis mephitis,50,50,,XY,,,Perelman et al. 2008
Carnivora,Mephitidae,Spilogale,gracilis,Spilogale gracilis,60,60,,XY,,,Perelman et al. 2008
Carnivora,Mustelidae,Amblonyx,cinerea,Amblonyx cinerea,38,38,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Eira,barbara,Eira barbara,38,38,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Mustelidae,Enhydra,lutris,Enhydra lutris,38,38,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Galictis,vittata,Galictis vittata,38,38,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Mustelidae,Gulo,gulo,Gulo gulo,42,42,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Ictonyx,striatus,Ictonyx striatus,38,38,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Lutra,lutra,Lutra lutra,36,36,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Lutra,lutra,Lutra lutra,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Martes,americana,Martes americana,38,38,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Martes,flavigula,Martes flavigula,40,40,,XY,,,Nie et al. 2002
Carnivora,Mustelidae,Martes,foina,Martes foina,38,38,,XY,,,Nie et al. 2002
Carnivora,Mustelidae,Martes,martes,Martes martes,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Martes,melampus,Martes melampus,38,38,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Martes,zibellina,Martes zibellina,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Meles,meles,Meles meles,44,44,,XY,,,Nie et al. 2002
Carnivora,Mustelidae,Mellivora,capensis,Mellivora capensis,40,40,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Mustelidae,Melogale,moschata,Melogale moschata,38,38,,XY,,,Nie et al. 2002
Carnivora,Mustelidae,Melogale,sp.,Melogale sp.,38,38,,XY,,,Wurster-Hill and Centerwall 1982
Carnivora,Mustelidae,Mustela,altaica,Mustela altaica,44,44,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Mustela,erminea,Mustela erminea,44,44,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Mustela,eversmanni,Mustela eversmanni,38,38,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Mustela,frenata,Mustela frenata,42,42,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Mustela,itatsi,Mustela itatsi,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Mustela,lutreola,Mustela lutreola,38,38,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Mustela,nigripes,Mustela nigripes,38,38,,XY,,,Houck (Unpublished)
Carnivora,Mustelidae,Mustela,nivalis,Mustela nivalis,42,42,,XY,,,Perelman and Graphodatsky (Unpublished)
Carnivora,Mustelidae,Mustela,putorius furo,Mustela putorius furo,40,40,,XY,,,Cavagna et al. 2000
Carnivora,Mustelidae,Mustela,putorius putorius,Mustela putorius putorius,40,40,,XY,,,Graphodatsky et al. 2002
Carnivora,Mustelidae,Mustela,sibirica,Mustela sibirica,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Mustela,sibirica itatsi,Mustela sibirica itatsi,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Mustelidae,Mustela,vison,Mustela vison,30,30,,XY,,,Serov (1998)
Carnivora,Mustelidae,Spilogale,gracilis latifrons,Spilogale gracilis latifrons,60,60,,XY,,,Benirschke 1969
Carnivora,Mustelidae,Spilogale,putorius,Spilogale putorius,64,64,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Spilogale,putorius interrupta,Spilogale putorius interrupta,64,64,,XY,,,Benirschke 1969
Carnivora,Mustelidae,Taxidea,taxus,Taxidea taxus,32,32,,XY,,,Blackmon 2019
Carnivora,Mustelidae,Vormela,peregusna,Vormela peregusna,38,38,,XY,,,Graphodatsky (Unpublished)
Carnivora,Nandiniidae,Nandinia,binotata,Nandinia binotata,38,38,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Odobenidae,Odobenus,rosmarus,Odobenus rosmarus,32,32,,XY,,,Arnason 1977
Carnivora,Otariidae,Arctocephalus,forsteri,Arctocephalus forsteri,36,36,,XY,,,Beklemisheva (Unpublished)
Carnivora,Otariidae,Arctocephalus,pusillus,Arctocephalus pusillus,36,36,,XY,,,Arnason 1977
Carnivora,Otariidae,Callorhinus,ursinus,Callorhinus ursinus,36,36,,XY,,,Arnason 1977
Carnivora,Otariidae,Eumetopias,jubatus,Eumetopias jubatus,36,36,,XY,,,Arnason 1974b
Carnivora,Otariidae,Phocarctos,hookeri,Phocarctos hookeri,36,36,,XY,,,Beklemisheva (Unpublished)
Carnivora,Otariidae,Zalophus,californianus,Zalophus californianus,36,36,,XY,,,Arnason 1974a
Carnivora,Phocidae,Cystophora,cristata,Cystophora cristata,34,34,,XY,,,Arnason 1974b
Carnivora,Phocidae,Erignathus,barbatus,Erignathus barbatus,34,34,,XY,,,Arnason 1974b
Carnivora,Phocidae,Halichoerus,grypus,Halichoerus grypus,32,32,,XY,,,Arnason 1970a
Carnivora,Phocidae,Leptonychotes,weddelli,Leptonychotes weddelli,34,34,,XY,,,Arnason 1974b
Carnivora,Phocidae,Mirounga,angustirostris,Mirounga angustirostris,34,34,,XY,,,Arnason 1974b
Carnivora,Phocidae,Monachus,schauinslandi,Monachus schauinslandi,34,34,,XY,,,Arnason 1974b
Carnivora,Phocidae,Pagophilus,groenlandicus,Pagophilus groenlandicus,32,32,,XY,,,Blackmon 2019
Carnivora,Phocidae,Phoca,fasciata,Phoca fasciata,32,32,,XY,,,Arnason 1977
Carnivora,Phocidae,Phoca,groenlandica,Phoca groenlandica,32,32,,XY,,,Arnason 1974c
Carnivora,Phocidae,Phoca,largha,Phoca largha,32,32,,XY,,,Beklemisheva (Unpublished)
Carnivora,Phocidae,Phoca,vitulina,Phoca vitulina,32,32,,XY,,,Fronicke et al. 1997
Carnivora,Phocidae,Pusa,hispida,Pusa hispida,32,32,,XY,,,Arnason 1974c
Carnivora,Phocidae,Pusa,sibirica,Pusa sibirica,32,32,,XY,,,Beklemisheva et al. 2016
Carnivora,Procyonidae,Ailurus,fulgens,Ailurus fulgens,36,36,,XY,,,Ni et al. 2002
Carnivora,Procyonidae,Bassariscus,astutus,Bassariscus astutus,38,38,,XY,,,Nash et al. 2008
Carnivora,Procyonidae,Brassaricyon,sp.,Brassaricyon sp.,38,38,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Procyonidae,Nasua,nasua,Nasua nasua,38,38,,XY,,,Blackmon 2019
Carnivora,Procyonidae,Potos,flavus,Potos flavus,38,38,,XY,,,CRES San Diego (Unpublished)
Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,38,38,,XY,,,Stanyon et al. 1993
Carnivora,Ursidae,Ailuropoda,melanoleuca,Ailuropoda melanoleuca,42,42,,XY,,,Nash et al. 2001
Carnivora,Ursidae,Helarctos,malayanus,Helarctos malayanus,74,74,,XY,,,Blackmon 2019
Carnivora,Ursidae,Selenarctos,thibetanus,Selenarctos thibetanus,74,74,,XY,,,Blackmon 2019
Carnivora,Ursidae,Tremarctos,ornatus,Tremarctos ornatus,52,52,,XY,,,Nash et al. 1998
Carnivora,Ursidae,Ursus,americanus,Ursus americanus,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Ursidae,Ursus,arctos,Ursus arctos,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Ursidae,Ursus,malayanus,Ursus malayanus,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Ursidae,Ursus,maritimus,Ursus maritimus,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Ursidae,Ursus,thibetanus,Ursus thibetanus,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Ursidae,Ursus,ursinus,Ursus ursinus,74,74,,XY,,,Nash and O'Brien 1987
Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,42,42,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Viverridae,Arctogalidia,trivirgata stigmatica,Arctogalidia trivirgata stigmatica,40,40,,XY,,,Blackmon 2019
Carnivora,Viverridae,Genetta,genetta,Genetta genetta,54,54,,XY,,,CRES San Diego (Unpublished)
Carnivora,Viverridae,Genetta,genetta neumanni,Genetta genetta neumanni,52,52,,XY,,,Blackmon 2019
Carnivora,Viverridae,Genetta,johnstoni,Genetta johnstoni,50,50,,XY,,,Gaubert et al. 2004
Carnivora,Viverridae,Genetta,maculata,Genetta maculata,52,52,,XY,,,Matoso Silva et al. 2016
Carnivora,Viverridae,Genetta,pardina,Genetta pardina,52,52,,XY,,,Beklemisheva (Unpublished)
Carnivora,Viverridae,Genetta,tigrina,Genetta tigrina,54,54,,XY,,,CRES San Diego (Unpublished)
Carnivora,Viverridae,Hemigalus,derbyanus,Hemigalus derbyanus,42,42,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Viverridae,Paguma,larvata,Paguma larvata,44,44,,XY,,,Perelman et al. 2005
Carnivora,Viverridae,Paradoxurus,hermaphroditicus,Paradoxurus hermaphroditicus,42,42,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Viverridae,Prionodon,linsang,Prionodon linsang,34,34,,XY,,,Wurster-Hill and Gray 1975
Carnivora,Viverridae,Viverricula,indica,Viverricula indica,36,36,,XY,,,Nie et al. 2012
Carnivora,Viverridae,Viverricula,indica,Viverricula indica,38,38,,XY,,,Wurster-Hill and Gray 1975
Chiroptera,Emballonuridae,Cormura,brevirostris,Cormura brevirostris,22,22,,XY,,,Araujo et al. 2016
Chiroptera,Emballonuridae,Taphozous,longimanus,Taphozous longimanus,42,42,,XY,,,Sreepada et al. 1995
Chiroptera,Emballonuridae,Taphozous,melanopogon,Taphozous melanopogon,42,42,,XY,,,Sreepada et al. 1995
Chiroptera,Emballonuridae,Taphozous,nudiventris,Taphozous nudiventris,42,42,,XY,,,Sreepada et al. 1995
Chiroptera,Emballonuridae,Taphozous,saccolaimus,Taphozous saccolaimus,44,44,,XY,,,Sreepada et al. 1995
Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,Aselliscus stoliczkanus,30,30,,XY,,,Ao et al. 2007
Chiroptera,Hipposideridae,Hipposideros,armiger,Hipposideros armiger,32,32,,XY,,,Mao et al. 2010
Chiroptera,Hipposideridae,Hipposideros,ater,Hipposideros ater,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Hipposideridae,Hipposideros,cineraceus,Hipposideros cineraceus,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Hipposideridae,Hipposideros,fulvus,Hipposideros fulvus,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Hipposideridae,Hipposideros,fulvus pallidus,Hipposideros fulvus pallidus,32,32,,XY,,,Choudhury and Patro 1993
Chiroptera,Hipposideridae,Hipposideros,lankadiva,Hipposideros lankadiva,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Hipposideridae,Hipposideros,larvatus,Hipposideros larvatus,32,32,,XY,,,Volleth et al. 2002
Chiroptera,Hipposideridae,Hipposideros,pomona,Hipposideros pomona,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Hipposideridae,Hipposideros,pratti,Hipposideros pratti,32,32,,XY,,,Mao et al. 2010
Chiroptera,Hipposideridae,Hipposideros,speoris,Hipposideros speoris,32,32,,XY,,,Sreepada et al. 1993
Chiroptera,Megadermatidae,Megaderma,lyra,Megaderma lyra,54,54,,XY,,,Choudhury and Mohanty 1993
Chiroptera,Megadermatidae,Megaderma,spasma,Megaderma spasma,38,38,,XY,,,Morielle-Versute et al. 1992
Chiroptera,Miniopteridae,Miniopterus,fuliginosus,Miniopterus fuliginosus,46,46,,XY,,,Ao et al.2006
Chiroptera,Molossidae,Chaerephon,plicatus,Chaerephon plicatus,48,48,,XY,,,Mao et al. 2007b
Chiroptera,Molossidae,Eumops,glaucinus,Eumops glaucinus,40,40,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Eumops,perotis,Eumops perotis,48,48,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Molossops,abrasus,Molossops abrasus,34,34,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Molossops,temminckii,Molossops temminckii,48,48,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Molossus,molossus,Molossus molossus,48,48,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Molossus,rufus,Molossus rufus,48,48,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,48,48,,XY,,,Morielle-Versute et al. 1996
Chiroptera,Molossidae,Tadarida,brasiliensis,Tadarida brasiliensis,48,48,,XY,,,Blackmon 2019
Chiroptera,Molossidae,Tadarida,teniotis,Tadarida teniotis,48,48,,XY,,,Mao et al. 2008
Chiroptera,Mormoopidae,Mormoops,blainvillii,Mormoops blainvillii,38,38,,XY,,,Sites et al. 1981
Chiroptera,Mormoopidae,Pteronotus,gymnonotus,Pteronotus gymnonotus,38,38,,XY,,,Sites et al. 1981
Chiroptera,Mormoopidae,Pteronotus,macleayii,Pteronotus macleayii,38,38,,XY,,,Sites et al. 1981
Chiroptera,Mormoopidae,Pteronotus,parnelii,Pteronotus parnelii,38,38,,XY,,,Sites et al. 1981
Chiroptera,Mormoopidae,Pteronotus,personatus,Pteronotus personatus,38,38,,XY,,,Sites et al. 1981
Chiroptera,Mystacinidae,Mystacina,tuberculata,Mystacina tuberculata,36,36,,XY,,,Bickham et al. 1980
Chiroptera,Natalidae,Natalus,major,Natalus major,36,36,,XY,,,Hoyt and Baker 1980
Chiroptera,Natalidae,Natalus,tumidirostris,Natalus tumidirostris,36,36,,XY,,,Blackmon 2019
Chiroptera,Noctilionidae,Noctilio,albiventris,Noctilio albiventris,34,34,,XY,,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Ametrida,centurio,Ametrida centurio,31,32,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Anoura,caudifera,Anoura caudifera,30,30,,XY,,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Anoura,cultrata,Anoura cultrata,30,30,,XY,,,Baker et al. 1979
Chiroptera,Phyllostomidae,Ardops,nichollsi,Ardops nichollsi,30,31,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Ardops,nichollsi,Ardops nichollsi,31,32,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Ariteus,flavescens,Ariteus flavescens,30,31,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,28,28,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus jamaicensis,30,31,,complex XY,XY1Y2,,Baker et al. 1979
Chiroptera,Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,30,31,,complex XY,XY1Y2,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,30,31,,complex XY,XY1Y2,,Pieczarka et al. 2013
Chiroptera,Phyllostomidae,Artibeus,toltecus,Artibeus toltecus,30,31,,complex XY,XY1Y2,,Blackmon 2019
Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,20,21,,complex XY,XY1Y2,,Stock 1975
Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,20,20,,XY,,,Blackmon 2019
Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,22,22,,XY,,,Stock 1975
Chiroptera,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,20,21,,complex XY,XY1Y2,,Teeling and Stanyon (Unpublished)
Chiroptera,Phyllostomidae,Carollia,subrufa,Carollia subrufa,20,21,,complex XY,XY1Y2,,Blackmon 2019
Chiroptera,Phyllostomidae,Chiroderma,doriae,Chiroderma doriae,26,26,,XY,,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Chiroderma,improvisum,Chiroderma improvisum,26,26,,XY,,,Baker et al. 1979
Chiroptera,Phyllostomidae,Chiroderma,villosum,Chiroderma villosum,26,26,,XY,,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Choeroniscus,godmani,Choeroniscus godmani,20,19,,complex XY,X1X2Y,,Hsu et al. 1968
Chiroptera,Phyllostomidae,Choeroniscus,itermedius,Choeroniscus itermedius,20,20,,XY,,,Stock 1975
Chiroptera,Phyllostomidae,Choeroniscus,minor,Choeroniscus minor,20,20,,XY,,,Das Neves et al. 2001
Chiroptera,Phyllostomidae,Choeronycteris,mexicana,Choeronycteris mexicana,16,16,,XY,,,Baker et al. 1979
Chiroptera,Phyllostomidae,Chrotopterus,auritus,Chrotopterus auritus,28,28,,XY,,,Morielle-Versute et al. 1992
Chiroptera,Phyllostomidae,Desmodus,rotundus,Desmodus rotundus,28,28,,XY,,,Varella-Garcia et al. 1989
Chiroptera,Phyllostomidae,Desmodus,rotundus murius,Desmodus rotundus murius,28,28,,XY,,,Blackmon 2019
