Family,Subfamily,Tribe,Genus,Species,Submetacentric,Metacentric,Subtelocentric,Telocentric,Subacrocentric,Acrocentric,Dot,Sex,HaploidNum,SCS,Notes,Reference
Culicidae,,,Theobaldia,Theobaldia incidens,,,,,,,,,3,,homomorphic,"Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Culicidae,,,Toxorhynchites,Toxorhynchites rutilis,,,,,,,,,3,,,Matthews and Munstermann 1994. Chromosomal repatterning and linkage group conservation in mosquito karyotypic evolution
Culicidae,Toxorhynchitinae,,Toxorhynchites,Toxorhynchites splendens,,,,,,,,,3,,,Rao and Rai 1984.  Comparative Karyotypes and Chromosomal Evolution in Some Genera of Nematocerous (Diptera:  Nematocera) Families
Culicidae,,Sbethini,Tripteroides,Tripteroides aranoides,,,,,,,,,3,,,Aslamkhan 1971. Karyotype of Tripteroides aranoides (Diptera: Culicidae)
Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia smithii,,,,,,,,,3,,,Rao and Rai 1984.  Comparative Karyotypes and Chromosomal Evolution in Some Genera of Nematocerous (Diptera:  Nematocera) Families
Cylindrotomidae,,,Phalacrocera,Phalacrocera replicata,,,,,,,,,5,XY,"heterochromatic sex chormosome, large","Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Diopsidae,,,Sphyracephala,Sphyracephala brevicornis,,,,,,,,,5,XY,small sex chromosome,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Dixidae,,,Dixa,Dixa dilatata,,,,,,,,,3,,,"White, G.B., (1980). Academic and applied aspects of mosquito cytogenetics . in R.L. Blackman, G.M. Hewitt,  and M. Ashburner (Ed.), Insect Cytogenetics, pp245-275.  Oxford, London, UK:  Blackwell Scientific Publications."
Dixidae,,,Dixa,Dixa recens,,2,,1,,1,,,4,,"two large metacenric pairs, one small acrocentric pair, another very small telocenric pair;  smallest pair homomorphic in males and females",Rao and Rai 1984.  Comparative Karyotypes and Chromosomal Evolution in Some Genera of Nematocerous (Diptera:  Nematocera) Families
Dixidae,,,Dixella,Dixella attica,,,,,,,,,4,,,"White, G.B., (1980). Academic and applied aspects of mosquito cytogenetics . in R.L. Blackman, G.M. Hewitt,  and M. Ashburner (Ed.), Insect Cytogenetics, pp245-275.  Oxford, London, UK:  Blackwell Scientific Publications."
Dixidae,,,Dixella,Dixella autumnalis,,,,,,,,,3,,,"White, G.B., (1980). Academic and applied aspects of mosquito cytogenetics . in R.L. Blackman, G.M. Hewitt,  and M. Ashburner (Ed.), Insect Cytogenetics, pp245-275.  Oxford, London, UK:  Blackwell Scientific Publications."
Dixidae,,,Palaeodixa,Palaeodixa frizzii,,,,,,,,,3,,,"White, G.B., (1980). Academic and applied aspects of mosquito cytogenetics . in R.L. Blackman, G.M. Hewitt,  and M. Ashburner (Ed.), Insect Cytogenetics, pp245-275.  Oxford, London, UK:  Blackwell Scientific Publications."
Drosophilidae,,,Adetoxenus,Adetoxenus Formosus,,,,,,,,,6,,,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Antopocerus,Antopocerus aduncus,,,,,,,,,6,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Drosophilidae,,,Antopocerus,Antopocerus aduncus or damphidiopodus?,,,,,,,,,6,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Drosophilidae,,,Antopocerus,Antopocerus arcuatus,,,,,,,,,6,,,"Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-110"
Drosophilidae,,,Antopocerus,Antopocerus cognatus,,,,,,,,,6,,,"Clayton, F.E. 1971  ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-248"
Drosophilidae,,,Antopocerus,Antopocerus diamphidiopodus,,,,,,,,,6,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Drosophilidae,,,Antopocerus,Antopocerus tanythrix,,,,,,,,,6,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Drosophilidae,,,Antopocerus,Antopocerus villosus,,,,,,,,,6,,,"Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-111"
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,"Kokee Park, kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,"Alakai Swamp, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,"Mohihi, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,Kohala Mts. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,"Pohakaloa, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma anomala,,,,,,,,,5,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma n. sp. Near anomala,,,,,,,,,4,,"Manoa Valley, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma n. sp. Near anomala,,,,,,,,,4,,"Tantalus, Oahu (Datura)","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma n. sp. Near anomala,,,,,,,,,4,,"Tantalus, Oahu (Koa)","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma n. sp. Near anomala,,,,,,,,,4,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,"Kamuela, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,Moanaloa Rd. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,Capt. Cook Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,Kohala Mts. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma palmae,,,,,,,,,5,,"Pohakaloa, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma varifrons,,,,,,,,,5,,"Paliku, Maui","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma varifrons,,,,,,,,,5,,"Tantalus, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma varifrons,,,,,,,,,5,,"Pupukea, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma xanthopleura,,,,,,,,,5,,"Tantalus, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma xanthopleura,,,,,,,,,5,,"Poamoho, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma xanthopleura,,,,,,,,,5,,"Pupukea, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma xanthopleura,,,,,,,,,5,,"Manoa Falls, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Bunostoma,Bunostoma xanthopleura,,,,,,,,,5,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Drosophilidae,,,Cacoxenus,Cacoxenus indigator,,,,,,,,,4,,,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza aldrichii,,,,,,,,,4,XY,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza amoena,,,,,,,,,4,XY,,"CHARLES W. METZ, MILDRED S. MOSES, CHROMOSOMES OF DROSOPHILA: Chromosome Relationships and Genetic Behavior in the Genus Drosophila: I. A Comparison of the Chromosomes of Different Species of Drosophila,Journal of Heredity, Volume 14, Issue 5, August 1923, Pages 195- 204,https://doi-org.srv-proxy1.library.tamu.edu/10.1093/oxfordjournals.jhered.a102315"
Drosophilidae,,,Chymomyza,Chymomyza amoena,,,,,,,,,4,,,"Metz, C.W., 1914. Chromosome studies in the Diptera. I. A preliminary survey of five different types of chromosome groups in the genus Drosophila.J. exp. Zool,17, pp.45-59., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza costata,,,,,,,,,4,,"Acrocentric X, submetacentric Y","Hackman, W., Lakovaara, S., Saura, A., Sorsa, M. and Vepsalainen, K., 1970. On the biology and karyology of Chymomyza costata Zetterstedt, with reference to the taxonomy and distribution of various species of Chymomyza (Dipt., Drosophilidae).Ann Entomol Fenn,36, pp.1-9., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza coxata,,,,,,,,,4,,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza procnemis,,,,,,,,,4,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Chymomyza,Chymomyza wirthii,,,,,,,,,4,XY,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Cladochaeta,Cladochaeta nebulosa,,,,,,,,,4,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Dettopsomyia,Dettopsomyia nigrovittata,,,,,,,,,5,,,"Prevosti, A. (1976). Cariotipo de Drosophila guanch Monclus y Dettopsomyia nigrovittata Malloch.  Bol. R. Soc. Esp. Hist. Nat., Secc. Biol. 74, 215-217., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Drosophila,"Drosophila ""melanissima""",,,,,,,,,5,XY,"X is v-shaped, Y is J shaped","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities.Jap J Zool,7, pp.507-555., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophilidae,,,Drosophila,Drosophila acanthoptera,,,,,,,,,5,XY,"X is V-shaped, Y is j-shaped","Ward, C.L., 1949. Karyotype variation in Drosophila. Univ. Texas Publ., 4920, pp.70-79., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophilidae,,,Drosophila,Drosophila acanthoptera,,,,,,,,,5,XY,"two pairs of rods, one with a satellite, a small pair of v's, a small J pair, and a very large V-shaped X.  The Y is a large J","Ward, C.L., 1949. Karyotype variation in Drosophila.Univ. Texas Publ.,4920, pp.70-79."
Drosophilidae,,,Drosophila,Drosophila acutilabella,,,,,,,,,4,,,"Stalker, H.D., 1953. Taxonomy and hybridization in the cardini group of Drosophila. Annals of the Entomological Society of America, 46(3), pp.343-358., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila acutilabella,,,,,,,,,4,XY,,"Futch, D.G., 1962. Hybridization studies within the cardini species group of the genus. In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 539-555"
Drosophilidae,,,Drosophila,Drosophila adiastola,,,,,,,,,6,,"Kokee, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-53., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-182, Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila adiastola,,,,,,,,,6,,"Bird Park, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-53., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-182, Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila adunca,,,,,,,,,6,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae. Univ. Texas Publ, 6818, pp.263-278., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Drosophila,Drosophila afer,,,,,,,,,5,XY,Should be similar to Affinis,"Tan, C.C., T.C. Hsu, and T.C. Sheng. 1949. Known Drosophila species in China with descriptions of twelve new species. U.T.P.,4920, 196-206., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophilidae,,,Drosophila,Drosophila affinidisjuncta,,,,,,,,,6,,printing eror occurs in Baimai and Ahearn,"Baimai, V. and Ahearn, J.N., 1978. Cytogenetic relationships of Drosophila affinidisjuncta Hardy.American Midland Naturalist, pp.352-360., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Drosophila,Drosophila affinis,,,,,,,,,5,XY,"V-shaped X, Y is j-shaped","Sturtevant, A.H. and Novitski, E., 1941. The homologies of the chromosome elements in the genus Drosophila. Genetics, 26(5), p.517-541., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophilidae,,,Drosophila,Drosophila affinis,,,,,,,,,5,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila affinis,,,,,,,,,5,,,"Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila affinis,,,,,,,,,5,XY,"X is v-shaped, Y is J-shaped","Miller, D.D. and Stone, L.E., 1962. Reinvestigation of karyotype in Drosophila affinis Sturtevant and related species. Journal of Heredity, 53(1), pp.12-24., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila affinis,,,,,,,,,5,XY,"V-shaped x, v shaped autosome, j-shaped autosome, a rod and a dot, J shaped Y, 8 euchromatic arms characteristic","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-338"
Drosophilidae,,,Drosophila,Drosophila aglaia,,,,,,,,,6,,,"Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila agumbensis,,,,,,,,,4,XY,x is a rod; y is j-shaped,"Prakash, H.S. and Reddy, G.S. (1978). Drosophila agumbensis, sp. Nov. from Karnataka, South India (Diptera: Drosophilidae). Orient. Insects 12, 259-263., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophilidae,,,Drosophila,Drosophila airzonensis,,,,,,,,,6,XY,Y is short rod 1/3 length of X,"Patterson, J.T. and Wheeler, M.R., 1942. Description of new species of the subgenera Hirtodrosophila and Drosophila. Univ. Texas Publ. 4213:69-109., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila albirostris,,,,,,,,,6,XY,"San Salvador, El Salvador","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila albirostris,,,,,,,,,6,XY,"San Salvador, El Salvador","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila albomicans,,,,,,,,,3,,,"Wilson, F.D., 1969. Cytogenetic relations in the Drosophila nasuta subgroup of the immigrans group of species. Univ. Texas Publ., 6918, pp.207-253., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila albomicans,,,,,,,,,4,XY,"Y is small V, reported as komaii","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila alboralis,,,,,,,,,6,,Y is shorter than X,"Momma, E., 1954 Drosophila survey of Hokkaido. II. Chromosomes of seven wild species. J. Fac. Sci. Hokkaido Univ. Ser.VI Zool. 12:200-208., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila aldrichi,,,,,,,,,6,XY,"Y is short rod, 1/3 length of X","Patterson, J.T. and Crow, J.F., 1940. XII. Hybridization in the mulleri group of Drosophila. Univ. Texas Publ, 4032, pp.251-256., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophilidae,,,Drosophila,Drosophila aldrichi,,,,,,,,,6,XY,"longest rod is X, dot-like element is present. Y is shorter than X","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-385"
Drosophilidae,,,Drosophila,Drosophila aldrichi,,,,,,,,,6,XY,,"Wasserman M., 1962. ""Cytological studies of the repleta group of the genus Drosophila"". In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 85-94"
Drosophilidae,,,Drosophila,Drosophila aldrichi,,,,,,,,,6,XY,,"Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
Drosophilidae,,,Drosophila,Drosophila aldrichi,,,,,,,,,6,XY,"X is rod, Y rod is less than a third of the length of the X","Sturtevant, A.H. and Novitski, E., 1941. The homologies of the chromosome elements in the genus Drosophila. Genetics, 26(5), p.517-541., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophilidae,,,Drosophila,Drosophila alexandrei,,,,,,,,,4,,,"Cordeiro, A.R., 1951 Drosophila alexandrei, una nova especie brasileira. Publ. Faculdade Fil. Univ. Rio Grande Sul 3:1-11., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
