Genus,Subgenus,Species,R,V,J,D,HaploidNum,Arms,X,Y,Sex,Notes,Ref.
Drosophila,Sophophora,Drosophila athabasca,1,1,2,1,5,8,V,,,Rod has subterminal centromere; X is v-shaped,"Miller, D.D. and Stone, L.E., 1962. Reinvestigation of karyotype in Drosophila affinis Sturtevant and related species. Journal of Heredity, 53(1), pp.12-24., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila athabasca,,1,3,1,5,9,V,J,XY,"V shaped x, 2 large J's, one small J and a dot, J shaped Y, 8 euchromatic arms characteristic","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-336"
Drosophila,Drosophila,Drosophila atrata,5,,,1,6,6,,,,reported as calloptera,"Dobzhansky, T. and Pavan, C., 1943. Chromosome complements of some South-Brazilian species of Drosophila.Proceedings of the National Academy of Sciences of the United States of America,29(11), p.368., Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila atrata,5,,,1,6,6,R,R,XY,,"Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
Drosophila,Hawaiian,Drosophila atrimentum,5,,,1,6,6,,,,,"Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-187., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila atripex,,,,,4,,,J,XY,page 184,"Bock, I.R., and Wheeler M 1972. The Drosophila melanogaster species group.University of Texas publication,7213, pp.1-102., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila atripex,,4,,,4,8,,J,XY,"Reported as ""species 2""; Y is j-shaped","Kaneshiro, K. and Wheeler, M.R., 1970. Preliminary report on the species of the ananassae subgroup.Drosophila Information Service,45, p.143., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila atroscutellata,5,,,1,6,6,,,,"reported as ""dark scutellum"" species","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila attigua,5,,,1,6,6,,,,,"Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-55., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila auraria,,,,,4,,,J,XY,"page 183, Karyotype C1","Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup.The Japanese Journal of Genetics,55(3), pp.165-175., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila auraria,1,2,,1,4,6,R,R/J,XY,"page 182, karyotype C, Y is listed as short rod in King handbook","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila auraria,,2,1,1,4,7,J,J,XY,"x and y are j-shaped, also listed as R on page 182, J on page 183, ","Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup. The Japanese Journal of Genetics, 55(3), pp.165-175., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Drosophila,Drosophila aureata,5,,,1,6,6,R,J,XY,Y is J-shaped,"Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila austrosaltans,1,2,,,3,5,,,,,"Spassky, B., 1957. Morphological differences between sibling species of Drosophila. Univ. Texas Publ, 5714, pp.48-61., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila azteca,,1,3,1,5,9,V,J,XY,"V-shaped X, Y is j-shaped","Sturtevant, A.H. and Novitski, E., 1941. The homologies of the chromosome elements in the genus Drosophila. Genetics, 26(5), p.517-541., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila azteca,,1,3,1,5,9,,,,,"Sturtevant, A.H. and Dobzhansky, T., 1936. Observations on the species related to new forms of Drosophila affinis, with descriptions of seven. The American Naturalist, 70(731), pp.574-584., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila azteca,1,2,1,1,5,8,,,,,"Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila azteca,1,1,2,1,5,8,,,,,"Miller, D.D. and Stone, L.E., 1962. Reinvestigation of karyotype in Drosophila affinis Sturtevant and related species. Journal of Heredity, 53(1), pp.12-24., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila azteca,,1,3,1,5,9,V,J,XY,"V shaped x, 2 large J's, one small J and a dot, J shaped Y,8 euchromatic arms characteristic","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-337"
Drosophila,Drosophila,Drosophila baelladunni,2,2,,,4,6,,,,,"Heed, W.B. and Krishnamurthy, N.B., 1959. Genetic studies on the cardini group of Drosophila in the West Indies.Univ. Texas Publ,5914, pp.155-179., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila baimaii,,,,,4,,,J,XY,"from page 183, karyotype C1","Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup.The Japanese Journal of Genetics,55(3), pp.165-175., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila baimaii,1,2,,,3,5,R,,XY,"from page 182, karyotype B, x is rod, Y is short","Bock I.R. and Wheeler, M.R., 1972.  The Drosophila melanogaster species group.  Univ. Texas Publ,7213, pp.1-102., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila baimaii,,2,1,1,4,7,J,J,XY,x and y are j-shaped,"Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup. The Japanese Journal of Genetics, 55(3), pp.165-175., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bakoue,,,,,4,,,,,"page 183, karyotype D","Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bakoue,1,2,,1,4,6,R,R,XY,x is a rod; y is a short rod; dot is a short rod,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Hawaiian,Drosophila balioptera,5,,,1,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-56., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila bandeirantorum,4,1,,1,6,7,R,R,XY,X and Y are rods,"Dobzhansky, T.G. and Pavan, C., 1943. Studies on Brazilian species of Drosophila. Boletim da Faculdade de Filosofia, Cilncias e Letras da Universidade de Sao Paulo. Biologia Geral. Separata, 36(4), pp.7-72., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila barbarae,,,,,4,,,J,XY,"page 183, Karyotype C1","Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup.The Japanese Journal of Genetics,55(3), pp.165-175., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila barbarae,1,2,,,3,5,R,,XY,"page 182, karyotype b, X is rod, Y is short","Bock I.R. and Wheeler, M.R., 1972.  The Drosophila melanogaster species group.  Univ. Texas Publ,7213, pp.1-102., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila barbarae,,2,1,1,4,7,J,J,XY,X and Y are J-shaped,"Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup. The Japanese Journal of Genetics, 55(3), pp.165-175., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Hawaiian,Drosophila basimacula,5,,,1,6,6,,,,,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila basisetae,5,,,1,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-57., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-188., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila bedicheki,1,2,,1,4,6,,,,,"Heed, W. B. and J.S. Russell, 1971  Phylogeny and population structure in island and continental species of the cardini group of Drosophila studied by inversion analysis.  Stud. Genet. IV Univ. Texas Publ. 7103:91-130., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,,Drosophila belladunni,1,2,,1,4,6,R,R,XY,,"Futch, D.G., 1962. Hybridization studies within the cardini species group of the genus. In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 539-562"
Drosophila,Drosophila,Drosophila betari,3,1,,1,5,6,R,R,XY,"X and Y are rod shaped, Y is dotlike but larger than autosomal dog","Dobzhansky, T.G. and Pavan, C., 1943. Studies on Brazilian species of Drosophila. Boletim da Faculdade de Filosofia, Cilncias e Letras da Universidade de Sao Paulo. Biologia Geral. Separata, 36(4), pp.7-72., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila biarmipes,,,,,4,,,V/R,XY,"page 183, karyotype C","Reddy, G.S. and Krishnamurthy, N.B. (1968). Drosophila rajasekari, a new species from Mysore (India). Proc Indian Acad. Sci., Sect. B 68B, 202-205., Gupta, J.P., 1969. new species of Drosophila Fallen (Insecta: Diptera: Drosophilidae) from India. Calcutta Zool Soc Proc. 22, 53-61., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila biarmipes,1,2,,1,4,6,R,R,XY,"X is a rod, Y is a small rod","Singh, B.K. and Gupta, J.P., 1979. Karyological study in some Indian species of Drosophilidae. Caryologia, 32(3), pp.265-278., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila biauraria,1,2,,,3,5,R,R,XY,"X is rod: Y is short, From page 182 of Genetics and Biology of Drosophila vol 3e.","Bock I.R. and Wheeler, M.R., 1972.  The Drosophila melanogaster species group.  Univ. Texas Publ,7213, pp.1-102., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bicornuta,1,2,,1,4,6,R,R,XY,"X is rod: Y is short, From page 182 of Genetics and Biology of Drosophila vol 3e.","Bock I.R. and Wheeler, M.R., 1972.  The Drosophila melanogaster species group.  Univ. Texas Publ,7213, pp.1-102., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bifasciata,,2,2,1,5,9,,,,error in Clayton and Wheeler 1975; listed as obscura,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bifasciata,,2,2,1,5,9,V,R,XY,X is large v; Y is rod; dots are large,"Buzzati-Traverso, A., 1941. Genetica di popolazioni in Drosophila. II. I cromosomi di 5 specie del igruppo obscurai e la incrociabilit di varie razze geografiche. Scientia genetica, 2, pp.1-18., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila bifasicata,,2,2,1,5,9,V,J,XY,"X is v-shaped, Y is J with short arm","Buzzati-Traverso, A., 1941. Genetica di popolazioni in Drosophila. II. I cromosomi di 5 specie del igruppo obscurai e la incrociabilit di varie razze geografiche. Scientia genetica, 2, pp.1-18., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Drosophila,Drosophila bifurca,5,1,,,6,7,,R,XY,Y Is rod,"Patterson, J.T. and Wheeler, M.R., 1942. Description of new species of the subgenera Hirtodrosophila and Drosophila. Univ. Texas Publ. 4213:69-109, Wharton, L.T., 1943. An analysis of the metaphase and salivary chromosome morphology within the genus Drosophila. Univ. Texas Publ., 4313, pp.282-319., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila bifurca,5,1,,,6,7,,V,XY,"Y is small, V-shaped","Ward, C.L., 1949. Karyotype variation in Drosophila. Univ. Texas Publ., 4920, pp.70-79., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila bifurca,5,,,1,6,6,R,R,XY,five rods anda dot.  Characterized by proximal constriction on each of the rods,"Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-378"
Drosophila,Drosophila,Drosophila bifurca,5,,,1,6,6,,,,,"Warters, M., 1944.Chromosomal aberrations in wild populations of DrosophilaUniv.Texas Publ, 4445:129-174"
Drosophila,Drosophila,Drosophila bifurca I,5,,,1,6,6,R,R,XY,"X and Y are rod shaped, all chromosomes show proximal constictions","Wharton, L.T., 1943. An analysis of the metaphase and salivary chromosome morphology within the genus Drosophila. Univ. Texas Publ., 4313, pp.282-319., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Drosophila,Drosophila bifurca II,5,,,1,6,6,R,V,XY,"X is rod shaped, Y is modifed to small V","Ward, C.L., 1949. Karyotype variation in Drosophila. Univ. Texas Publ., 4920, pp.70-79., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila biopaca,1,2,,,3,5,,,,salivary glands show 5 long arms and a dot,"Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-327"
Drosophila,Sophophora,Drosophila bipectinata,,4,,,4,8,V,V,XY,"Medium v-shaped X, Y is v shaped, Y is lised as v on page 184 of Genetics and biology of Drosophila vol. 3e.  X is medium V, y is v-shaped (king handbook)","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila bipectinata,,4,,,4,8,,,,"three large v's one small v in both sexes, x chromosome is inverted across the centromere. Salivary chromosomes consists of 6 long arms and a dot, the two arms comprising the X are the shortest","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-333"
Drosophila,Drosophila,Drosophila bipunctata,5,,,1,6,6,R,R,XY,Y is rod shorter than X,"Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila birchii,,,,,4,,,J/V,XY,"from page 183, karyotype C1","Baimai, V., 1969. Karyotype variation in Drosophila birchii. Chromosoma, 27(4), pp.381-394., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup. The Japanese Journal of Genetics, 55(3), pp.165-175., Lemeunier, F., J.R. David, L. Tsacas and M. Ashburner (1986).  The melanogaster Species Group. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp148-256.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila birchii,,2,1,1,4,7,J,J,XY,X and Y are J-shaped,"Baimai, V., 1980. Metaphase karyotypes of certain species of the Drosophila montium subgroup. The Japanese Journal of Genetics, 55(3), pp.165-175., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila birchii,,2,,1,4,5,,,,+1?'  Pair of sex chromsomes of various types,"Baimai, V., 1969. Karyotype variation in Drosophila birchii. Chromosoma, 27(4), pp.381-394., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila biseriata,3,1,,1,5,6,,,,,"Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila biseriata-like,5,,,1,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Drosophila,Drosophila,Drosophila bizonata,,3,,1,4,7,V,V,XY,X and Y are v-shaped,"Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
