"genes","GOterms"
"tcat14785",63
"tcat1476",97
"tcat4985",102
"tcat12028",94
"tcat12226",101
"tcat19116",129
"tcat4498",74
"tcat18479",10
"tcat6927",139
"tcat14166",16
"tcat16303",52
"tcat425",97
"tcat17957",83
"tcat48",88
"tcat41",36
"tcat12547",130
"tcat17883",20
"tcat11208",149
"tcat5928",10
"tcat17900",84
"tcat7299",30
"tcat10561",138
"tcat9296",61
"tcat14011",57
"tcat17605",36
"tcat11862",112
"tcat2781",23
"tcat15864",94
"tcat12136",143
"tcat18278",135
"tcat17098",52
"tcat13384",98
"tcat5535",35
"tcat6598",88
"tcat17726",127
"tcat18160",112
"tcat11470",142
"tcat17616",106
"tcat415",107
"tcat19388",68
"tcat408",35
"tcat13268",87
"tcat9259",43
"tcat4780",69
"tcat2434",21
"tcat14323",16
"tcat2834",143
"tcat11471",131
"tcat1680",40
"tcat6426",145
"tcat8735",52
"tcat12637",41
"tcat17088",80
"tcat807",63
"tcat2652",7
"tcat11326",119
"tcat11814",12
"tcat11879",132
"tcat13473",146
"tcat5782",31
"tcat15321",39
"tcat11459",35
"tcat9518",16
"tcat7390",12
"tcat13055",4
"tcat14689",91
"tcat13273",152
"tcat4729",71
"tcat3935",136
"tcat3072",54
"tcat16497",80
"tcat7711",104
"tcat2495",13
"tcat2291",124
"tcat18969",44
"tcat12867",18
"tcat12614",57
"tcat18503",28
"tcat5955",151
"tcat5736",149
"tcat19957",86
"tcat17044",5
"tcat842",36
"tcat17651",148
"tcat5783",44
"tcat4984",85
"tcat7606",2
"tcat8950",144
"tcat437",112
"tcat16362",121
"tcat18363",142
"tcat9484",91
"tcat6489",124
"tcat9491",84
"tcat16701",108
"tcat989",100
"tcat11971",70
"tcat17329",49
"tcat1541",19
"tcat1942",140
"tcat3651",63
"tcat14479",22
"tcat19001",93
"tcat2639",93
"tcat15345",51
"tcat10306",50
"tcat7737",30
"tcat3111",58
"tcat16236",146
"tcat17807",16
"tcat2256",46
"tcat13800",29
"tcat17897",88
"tcat10119",101
"tcat3692",9
"tcat16454",105
"tcat13609",77
"tcat12859",33
"tcat927",108
"tcat9110",28
"tcat11806",129
"tcat1307",127
"tcat231",3
"tcat18225",44
"tcat18893",6
"tcat13868",89
"tcat11149",141
"tcat8987",56
"tcat12102",93
"tcat19653",96
"tcat14189",148
"tcat9447",42
"tcat9895",68
"tcat3487",18
"tcat18865",90
"tcat4061",122
"tcat11857",117
"tcat5276",120
"tcat9814",44
"tcat12674",6
"tcat16642",23
"tcat17320",79
"tcat7203",72
"tcat4213",13
"tcat7898",89
"tcat11893",74
"tcat9406",4
"tcat12487",74
"tcat17903",81
"tcat12707",8
"tcat3952",2
"tcat16786",5
"tcat18520",111
"tcat16389",31
"tcat6107",50
"tcat14211",63
"tcat8627",102
"tcat9481",153
"tcat3945",38
"tcat1456",127
"tcat1855",84
"tcat9698",152
"tcat15736",4
"tcat17282",130
"tcat12840",123
"tcat16529",142
"tcat4215",30
"tcat6063",143
"tcat17071",10
"tcat5088",66
"tcat6454",130
"tcat8280",115
"tcat11060",121
"tcat10635",68
"tcat721",119
"tcat8723",78
"tcat18396",101
"tcat9252",52
"tcat353",90
"tcat13567",2
"tcat1181",35
"tcat18362",47
"tcat15423",138
"tcat975",33
"tcat10457",23
"tcat17217",8
"tcat3844",74
"tcat12483",11
"tcat12950",45
"tcat3518",121
"tcat7322",57
"tcat575",65
"tcat2614",86
"tcat5812",13
"tcat11681",123
"tcat11280",23
"tcat18983",32
"tcat2628",42
"tcat1947",10
"tcat9868",87
"tcat1305",15
"tcat11339",90
"tcat5769",136
"tcat207",136
"tcat16059",151
"tcat7977",106
"tcat4038",7
"tcat15363",57
"tcat10873",14
"tcat4035",97
"tcat112",60
"tcat2380",3
"tcat11368",3
"tcat2972",111
"tcat4066",120
"tcat597",97
"tcat1337",137
"tcat15259",133
"tcat11732",74
"tcat7833",148
"tcat19240",24
"tcat5730",146
"tcat10208",10
"tcat19667",31
"tcat17914",129
"tcat11299",110
"tcat1344",16
"tcat18609",11
"tcat13139",99
"tcat4602",25
"tcat19996",40
"tcat2104",20
"tcat8997",143
"tcat9652",94
"tcat16902",111
"tcat6286",79
"tcat14155",71
"tcat8326",100
"tcat2116",146
"tcat4475",41
"tcat10258",106
"tcat9726",46
"tcat18914",37
"tcat14000",127
"tcat18377",130
"tcat3561",117
"tcat19290",129
"tcat866",93
"tcat5721",79
"tcat4832",108
"tcat7366",74
"tcat2004",68
"tcat2032",134
"tcat19363",25
"tcat15605",42
"tcat10114",90
"tcat9502",115
"tcat14746",43
"tcat10049",47
"tcat16226",107
"tcat3628",86
"tcat8959",112
"tcat11295",27
"tcat3819",117
"tcat13902",10
"tcat15691",125
"tcat15774",153
"tcat12344",129
"tcat6056",144
"tcat8755",138
"tcat5948",53
"tcat18950",103
"tcat11579",61
"tcat6451",122
"tcat15800",71
"tcat18526",54
"tcat10559",10
"tcat7045",112
"tcat1856",141
"tcat12552",21
"tcat7509",153
"tcat15983",100
"tcat277",41
"tcat9055",148
"tcat14320",124
"tcat7367",34
"tcat8516",139
"tcat13571",29
"tcat10369",18
"tcat17450",74
"tcat1283",146
"tcat16468",135
"tcat9359",28
"tcat2522",112
"tcat13817",129
"tcat200",61
"tcat18372",76
"tcat16583",32
"tcat13578",10
"tcat11831",139
"tcat6623",5
"tcat16266",2
"tcat18348",116
"tcat2634",99
"tcat16769",22
"tcat14567",37
"tcat23",47
"tcat14762",1
"tcat610",77
"tcat14908",103
"tcat6896",100
"tcat2916",130
"tcat1840",149
"tcat3328",126
"tcat15295",87
"tcat3703",138
"tcat15120",51
"tcat11155",75
"tcat14410",100
"tcat11047",64
"tcat14330",53
"tcat9522",51
"tcat4651",142
"tcat13183",143
"tcat18342",17
"tcat7034",122
"tcat12219",131
"tcat1303",53
"tcat13254",57
"tcat18668",53
"tcat19358",25
"tcat13518",36
"tcat3398",97
"tcat14433",38
"tcat5861",94
"tcat15413",73
"tcat16228",117
"tcat1509",36
"tcat10075",147
"tcat5748",88
"tcat1153",15
"tcat8229",84
"tcat10140",154
"tcat3342",119
"tcat13804",133
"tcat9857",13
"tcat4314",41
"tcat2275",122
"tcat15324",11
"tcat15541",99
"tcat10966",97
"tcat18670",76
"tcat2765",152
"tcat4489",81
"tcat19723",55
"tcat7788",89
"tcat19182",78
"tcat14665",21
"tcat4890",123
"tcat15409",151
"tcat6540",9
"tcat15579",34
"tcat6871",28
"tcat8639",37
"tcat1931",100
"tcat13889",73
"tcat11969",119
"tcat16913",39
"tcat9740",20
"tcat12161",23
"tcat7205",71
"tcat4287",147
"tcat82",137
"tcat14096",124
"tcat19722",11
"tcat6093",102
"tcat12113",28
"tcat15309",141
"tcat5188",132
"tcat3354",17
"tcat8550",133
"tcat7584",3
"tcat13941",12
"tcat4194",8
"tcat1410",98
"tcat19179",132
"tcat4034",118
"tcat18462",31
"tcat9801",17
"tcat5465",143
"tcat15140",145
"tcat17641",24
"tcat7149",32
"tcat12010",102
"tcat1110",17
"tcat1386",119
"tcat9440",153
"tcat12292",128
"tcat19451",23
"tcat5534",56
"tcat199",100
"tcat8851",50
"tcat13009",23
"tcat6867",44
"tcat14184",142
"tcat10504",118
"tcat2626",152
"tcat1798",145
"tcat18250",73
"tcat12090",98
"tcat18965",139
"tcat2019",52
"tcat693",6
"tcat9011",116
"tcat1649",25
"tcat6148",30
"tcat3464",103
"tcat3514",89
"tcat5699",99
"tcat5503",15
"tcat16282",44
"tcat19852",105
"tcat5218",52
"tcat6228",67
"tcat12011",64
"tcat109",153
"tcat528",145
"tcat11713",135
"tcat14374",87
"tcat19995",146
"tcat6529",110
"tcat15110",149
"tcat9574",106
"tcat17954",24
"tcat18840",64
"tcat11255",55
"tcat9728",92
"tcat14396",101
"tcat7921",30
"tcat6265",88
"tcat15911",64
"tcat15565",46
"tcat10463",148
"tcat11680",147
"tcat15236",119
"tcat17490",38
"tcat13759",116
"tcat13758",27
"tcat446",51
"tcat19433",136
"tcat15555",137
"tcat3352",40
"tcat9492",91
"tcat18864",127
"tcat1727",38
"tcat19050",142
"tcat3424",109
"tcat14841",132
"tcat12914",141
"tcat5083",83
"tcat1718",131
"tcat7496",105
"tcat6248",110
"tcat8977",48
"tcat12943",64
"tcat15299",17
"tcat1573",86
"tcat3143",111
"tcat10778",27
"tcat14223",148
"tcat8570",83
"tcat18534",88
"tcat14852",40
"tcat7476",31
"tcat11315",62
"tcat18658",99
"tcat11756",134
"tcat19986",108
"tcat363",69
"tcat102",84
"tcat698",62
"tcat1315",86
"tcat18841",117
"tcat2179",149
"tcat19860",38
"tcat8546",10
"tcat3151",32
"tcat3932",29
"tcat12503",125
"tcat17372",84
"tcat7937",92
"tcat15398",143
"tcat1482",68
"tcat19696",69
"tcat10300",146
"tcat14045",117
"tcat12905",121
"tcat4535",49
"tcat18546",131
"tcat12205",28
"tcat18211",42
"tcat18035",35
"tcat17856",133
"tcat4021",113
"tcat5445",151
"tcat18124",71
"tcat16589",128
"tcat10517",153
"tcat925",149
"tcat6473",24
"tcat6403",115
"tcat14940",136
"tcat9764",96
"tcat13544",25
"tcat15420",59
"tcat16821",53
"tcat13431",21
"tcat5056",8
"tcat10407",100
"tcat4714",20
"tcat13453",42
"tcat8767",125
"tcat18421",67
"tcat3859",37
"tcat14805",2
"tcat16269",48
"tcat9254",15
"tcat18996",35
"tcat9831",137
"tcat9773",30
"tcat18105",106
"tcat6071",8
"tcat17498",105
"tcat16099",68
"tcat10218",121
"tcat6588",84
"tcat16082",112
"tcat11437",92
"tcat18472",106
"tcat2921",5
"tcat3233",63
"tcat18955",99
"tcat8658",30
"tcat13493",45
"tcat16853",96
"tcat1120",149
"tcat828",97
"tcat7391",49
"tcat19058",122
"tcat7672",142
"tcat7088",141
"tcat13574",121
"tcat1701",151
"tcat14563",64
"tcat7550",11
"tcat4130",40
"tcat8163",56
"tcat19916",51
"tcat8104",126
"tcat1226",53
"tcat18622",96
"tcat5405",129
"tcat11001",134
"tcat18696",85
"tcat16015",68
"tcat6743",61
"tcat6033",71
"tcat10310",13
"tcat2842",112
"tcat18185",88
"tcat929",137
"tcat8525",87
"tcat13411",26
"tcat11801",114
"tcat7486",61
"tcat5057",119
"tcat13496",124
"tcat13948",125
"tcat19169",7
"tcat15729",79
"tcat14273",82
"tcat11549",59
"tcat5365",40
"tcat6268",129
"tcat56",134
"tcat10656",27
"tcat6916",124
"tcat18142",57
"tcat10772",41
"tcat2725",143
"tcat1664",98
"tcat12982",149
"tcat138",107
"tcat5567",48
"tcat1952",18
"tcat15175",102
"tcat1007",63
"tcat8138",144
"tcat16626",99
"tcat11942",89
"tcat7407",128
"tcat12893",54
"tcat12062",130
"tcat15609",26
"tcat14978",119
"tcat687",112
"tcat10679",58
"tcat14218",154
"tcat12354",31
"tcat12967",13
"tcat2005",149
"tcat2711",13
"tcat3606",110
"tcat7286",64
"tcat7255",77
"tcat5683",62
"tcat1575",77
"tcat16884",131
"tcat12622",98
"tcat8238",23
"tcat15375",76
"tcat5773",94
"tcat3674",97
"tcat10712",117
"tcat15022",82
"tcat17480",60
"tcat8073",36
"tcat8029",76
"tcat6188",28
"tcat17489",48
"tcat12380",142
"tcat16472",117
"tcat18594",109
"tcat361",138
"tcat8283",81
"tcat9147",71
"tcat3063",78
"tcat19773",65
"tcat6397",137
"tcat9321",105
"tcat1005",148
"tcat19807",46
"tcat13825",43
"tcat17447",61
"tcat10747",30
"tcat6373",121
"tcat10686",10
"tcat18411",48
"tcat4758",145
"tcat14509",91
"tcat18245",9
"tcat18972",122
"tcat3404",136
"tcat4824",5
"tcat15977",94
"tcat2418",20
"tcat12966",85
"tcat14710",20
"tcat15979",42
"tcat13738",54
"tcat2264",101
"tcat17973",81
"tcat495",80
"tcat6581",126
"tcat19731",18
"tcat1170",150
"tcat2572",29
"tcat11707",124
"tcat625",108
"tcat5427",41
"tcat15540",146
"tcat15901",145
"tcat8921",45
"tcat12932",61
"tcat10865",135
"tcat15811",69
"tcat4266",13
"tcat1988",36
"tcat19810",94
"tcat11228",87
"tcat2477",96
"tcat16961",32
"tcat16826",25
"tcat11889",152
"tcat9416",3
"tcat14280",39
"tcat14723",83
"tcat15040",109
"tcat11894",29
"tcat12056",57
"tcat11824",96
"tcat15850",141
"tcat6295",51
"tcat7535",153
"tcat6256",78
"tcat13533",67
"tcat16433",68
"tcat11258",110
"tcat16257",93
"tcat9792",106
"tcat8809",75
"tcat17959",10
"tcat5641",146
"tcat10024",63
"tcat5725",94
"tcat10985",114
"tcat5587",28
"tcat18385",1
"tcat9971",16
"tcat14703",15
"tcat1886",83
"tcat8706",94
"tcat14115",90
"tcat17428",45
"tcat6534",41
"tcat2952",14
"tcat13257",12
"tcat9965",68
"tcat8300",60
"tcat3574",151
"tcat1851",11
"tcat6215",91
"tcat6226",41
"tcat819",131
"tcat15151",8
"tcat2372",10
"tcat17264",10
"tcat11716",42
"tcat16198",89
"tcat2015",91
"tcat13036",146
"tcat8135",48
"tcat10428",125
"tcat2666",147
"tcat16570",106
"tcat16462",10
"tcat1229",110
"tcat2496",119
"tcat4799",72
"tcat15457",89
"tcat1413",100
"tcat6999",71
"tcat960",39
"tcat11022",15
"tcat8766",42
"tcat17311",154
"tcat18867",26
"tcat8823",134
"tcat174",142
"tcat1583",16
"tcat7546",20
"tcat8432",95
"tcat18936",56
"tcat9194",83
"tcat4634",31
"tcat1846",71
"tcat1676",18
"tcat8431",83
"tcat11125",8
"tcat3991",97
"tcat16245",9
"tcat11812",68
"tcat18219",63
"tcat19498",137
"tcat10909",128
"tcat7273",15
"tcat18115",150
"tcat5646",93
"tcat3410",150
"tcat17896",47
"tcat13784",27
"tcat18319",29
"tcat13426",34
"tcat2618",130
"tcat11643",34
"tcat11652",111
"tcat626",8
"tcat13959",92
"tcat15125",56
"tcat4737",85
"tcat11594",60
"tcat15277",79
"tcat10970",107
"tcat8087",123
"tcat17760",13
"tcat11417",40
"tcat12407",138
"tcat18089",90
"tcat18310",90
"tcat3407",139
"tcat8344",120
"tcat2045",102
"tcat80",141
"tcat9615",74
"tcat135",66
"tcat5363",51
"tcat9335",94
"tcat4162",109
"tcat10159",98
"tcat8650",49
"tcat843",98
"tcat18008",50
"tcat15293",39
"tcat12046",97
"tcat19796",19
"tcat366",147
"tcat15752",12
"tcat12587",114
"tcat14904",135
"tcat8541",130
"tcat4299",92
"tcat15617",127
"tcat2031",14
"tcat15536",149
"tcat2900",68
"tcat18754",131
"tcat17953",23
"tcat5348",149
"tcat2123",57
"tcat2754",58
"tcat6300",144
"tcat15066",86
"tcat14500",75
"tcat14856",37
"tcat14838",34
"tcat17245",47
"tcat17014",66
"tcat17403",55
"tcat8328",15
"tcat1996",69
"tcat16564",69
"tcat7237",127
"tcat7182",63
"tcat16129",111
"tcat18919",6
"tcat9625",2
"tcat13509",149
"tcat19795",37
"tcat17834",116
"tcat5693",10
"tcat12752",148
"tcat3802",133
"tcat10251",145
"tcat4544",81
"tcat3296",102
"tcat2077",148
"tcat18512",140
"tcat8672",102
"tcat1602",67
"tcat6546",115
"tcat16801",73
"tcat10723",91
"tcat5887",56
"tcat11625",49
"tcat1121",91
"tcat12378",29
"tcat6048",11
"tcat8523",11
"tcat3491",22
"tcat2309",114
"tcat18238",149
"tcat19906",27
"tcat9095",109
"tcat9438",112
"tcat7067",113
"tcat12411",140
"tcat10509",49
"tcat6259",70
"tcat8433",117
"tcat17407",114
"tcat3312",57
"tcat8276",77
"tcat15966",104
"tcat16599",57
"tcat3138",65
"tcat7628",1
"tcat14440",15
"tcat6097",21
"tcat2586",149
"tcat11180",22
"tcat7111",26
"tcat11477",102
"tcat10441",128
"tcat2303",68
"tcat3269",148
"tcat19174",51
"tcat15230",60
"tcat14214",66
"tcat16038",46
"tcat19009",113
"tcat13051",117
"tcat13971",30
"tcat13202",139
"tcat14375",72
"tcat18356",107
"tcat3679",48
"tcat9599",140
"tcat5651",52
"tcat13274",97
"tcat11262",39
"tcat8165",119
"tcat6543",73
"tcat7538",57
"tcat4256",121
"tcat2562",69
"tcat845",22
"tcat17788",90
"tcat2662",87
"tcat14642",49
"tcat1631",28
"tcat3264",96
"tcat5141",104
"tcat15352",101
"tcat15533",59
"tcat7302",6
"tcat12421",92
"tcat13979",18
"tcat16870",92
"tcat6436",140
"tcat2492",39
"tcat19910",107
"tcat17337",29
"tcat957",65
"tcat1874",73
"tcat19101",113
"tcat1341",137
"tcat10303",114
"tcat13572",54
"tcat14476",71
"tcat14730",22
"tcat1675",76
"tcat10250",20
"tcat431",16
"tcat11174",2
"tcat6325",145
"tcat17482",38
"tcat19143",117
"tcat8009",43
"tcat14319",11
"tcat8498",32
"tcat2583",107
"tcat13633",17
"tcat11846",57
"tcat228",42
"tcat14911",133
"tcat13775",151
"tcat5009",147
"tcat13538",123
"tcat8828",87
"tcat11524",142
"tcat13626",89
"tcat616",29
"tcat4052",83
"tcat4226",134
"tcat11564",146
"tcat18536",48
"tcat1162",136
"tcat10716",21
"tcat4354",25
"tcat6637",71
"tcat551",122
"tcat2406",118
"tcat6679",133
"tcat9974",2
"tcat16854",96
"tcat3322",27
"tcat19457",97
"tcat7691",51
"tcat12220",143
"tcat18258",152
"tcat1769",2
"tcat16842",7
"tcat17090",150
"tcat2138",67
"tcat9676",102
"tcat1461",26
"tcat3385",76
"tcat5676",86
"tcat10838",150
"tcat11309",137
"tcat9085",138
"tcat14862",18
"tcat8132",153
"tcat10827",57
"tcat15615",109
"tcat9049",112
"tcat3775",106
"tcat10362",103
"tcat10343",6
"tcat8185",67
"tcat1155",145
"tcat4377",57
"tcat13641",147
"tcat13605",126
"tcat19275",1
"tcat3866",101
"tcat3258",8
"tcat269",152
"tcat4090",129
"tcat11336",147
"tcat6462",142
"tcat15661",151
"tcat13481",96
"tcat17669",137
"tcat16882",107
"tcat7894",12
"tcat3992",17
"tcat17470",9
"tcat11035",111
"tcat16606",148
"tcat19530",24
"tcat339",15
"tcat8382",110
"tcat18769",151
"tcat6222",149
"tcat17006",26
"tcat110",143
"tcat6187",9
"tcat18565",18
"tcat5933",85
"tcat9274",64
"tcat5843",48
"tcat14962",5
"tcat899",97
"tcat2747",122
"tcat5413",51
"tcat13316",42
"tcat3382",77
"tcat13709",4
"tcat14257",42
"tcat11343",92
"tcat1414",18
"tcat4726",31
"tcat3035",23
"tcat17505",6
"tcat1486",121
"tcat15916",107
"tcat7484",13
"tcat17860",30
"tcat2854",53
"tcat1669",84
"tcat8979",78
"tcat13097",75
"tcat16045",80
"tcat19555",14
"tcat1088",147
"tcat16334",3
"tcat3779",79
"tcat9872",103
"tcat16296",122
"tcat11848",117
"tcat208",75
"tcat270",80
"tcat5717",126
"tcat15337",78
"tcat11858",54
"tcat18224",67
"tcat13053",147
"tcat1522",130
"tcat890",56
"tcat259",5
"tcat12084",107
"tcat1619",46
"tcat16140",154
"tcat2409",153
"tcat3129",56
"tcat5737",103
"tcat13677",82
"tcat14017",14
"tcat12797",141
"tcat19809",84
"tcat16968",64
"tcat3114",20
"tcat17874",54
"tcat17727",4
"tcat5091",76
"tcat386",25
"tcat101",124
"tcat1610",73
"tcat3097",104
"tcat4924",23
"tcat13960",39
"tcat7959",44
"tcat6508",118
"tcat7290",131
"tcat17739",40
"tcat11265",51
"tcat14709",67
"tcat14539",80
"tcat3924",116
"tcat19725",114
"tcat17321",154
"tcat12601",28
"tcat17462",23
"tcat1117",24
"tcat15648",100
"tcat5560",100
"tcat9880",86
"tcat17155",92
"tcat9211",68
"tcat122",72
"tcat9826",77
"tcat5530",41
"tcat19738",27
"tcat11319",53
"tcat3738",58
"tcat18195",31
"tcat13322",25
"tcat15037",119
"tcat13005",126
"tcat14458",33
"tcat10889",118
"tcat10454",43
"tcat10248",28
"tcat7406",144
"tcat2547",98
"tcat15770",70
"tcat12059",146
"tcat11899",152
"tcat16876",57
"tcat19092",108
"tcat17359",120
"tcat18593",127
"tcat9304",60
"tcat3824",145
"tcat6685",90
"tcat16986",130
"tcat585",61
"tcat10732",1
"tcat16037",140
"tcat14561",145
"tcat17144",67
"tcat10123",49
"tcat14404",42
"tcat2505",84
"tcat14405",98
"tcat13134",123
"tcat1057",89
"tcat5267",94
"tcat18962",154
"tcat5136",9
"tcat11661",86
"tcat11575",128
"tcat17089",20
"tcat18300",13
"tcat19329",59
"tcat10164",47
"tcat5942",112
"tcat4325",29
"tcat11015",94
"tcat1783",140
"tcat3623",125
"tcat18415",44
"tcat18796",54
"tcat5495",59
"tcat17648",131
"tcat7144",123
"tcat5133",70
"tcat504",101
"tcat12078",116
"tcat3658",135
"tcat3966",120
"tcat4352",147
"tcat19677",101
"tcat8467",16
"tcat7547",56
"tcat703",9
"tcat155",133
"tcat16661",47
"tcat7687",138
"tcat9748",120
"tcat9548",10
"tcat5831",7
"tcat18275",105
"tcat18981",77
"tcat13703",10
"tcat2692",31
"tcat10025",13
"tcat4561",92
"tcat4525",12
"tcat1107",36
"tcat17350",52
"tcat6123",62
"tcat4115",149
"tcat15172",124
"tcat7327",129
"tcat8519",18
"tcat13780",17
"tcat13422",51
"tcat5591",39
"tcat15013",131
"tcat18946",98
"tcat11498",88
"tcat4307",65
"tcat2073",20
"tcat1742",101
"tcat1360",94
"tcat15499",103
"tcat10116",113
"tcat14067",139
"tcat17580",54
"tcat6584",44
"tcat15878",14
"tcat9493",60
"tcat10702",5
"tcat338",40
"tcat2089",33
"tcat15767",52
"tcat18378",13
"tcat18123",101
"tcat160",92
"tcat19993",5
"tcat16395",37
"tcat18989",80
"tcat14721",32
"tcat17472",52
"tcat8620",148
"tcat13232",64
"tcat1237",24
"tcat14540",108
"tcat16954",102
"tcat17690",114
"tcat7016",130
"tcat12644",64
"tcat9689",127
"tcat5175",115
"tcat17440",76
"tcat7949",32
"tcat15374",11
"tcat4735",67
"tcat4394",22
"tcat1250",108
"tcat6070",21
"tcat13173",8
"tcat16703",18
"tcat15184",4
"tcat10389",76
"tcat17767",28
"tcat10795",10
"tcat17360",137
"tcat18934",53
"tcat17091",117
"tcat16975",34
"tcat17338",153
"tcat16273",148
"tcat2400",95
"tcat13887",100
"tcat5837",133
"tcat2205",114
"tcat15077",12
"tcat452",19
"tcat15169",15
"tcat9714",103
"tcat17904",19
"tcat4657",49
"tcat462",79
"tcat2925",122
"tcat5973",63
"tcat5164",115
"tcat16917",134
"tcat7321",45
"tcat2654",116
"tcat18787",145
"tcat2963",73
"tcat2212",149
"tcat9815",18
"tcat5597",144
"tcat11999",78
"tcat12197",20
"tcat13046",66
"tcat11192",68
"tcat4242",87
"tcat5326",106
"tcat12104",79
"tcat17053",50
"tcat9876",17
"tcat9836",70
"tcat7423",50
"tcat3633",61
"tcat12737",16
"tcat17240",29
"tcat8951",68
"tcat11753",109
"tcat12962",56
"tcat12652",126
"tcat7567",90
"tcat4678",83
"tcat2827",15
"tcat7350",149
"tcat2136",123
"tcat15971",122
"tcat18098",68
"tcat3933",120
"tcat8676",109
"tcat4397",62
"tcat12073",45
"tcat14128",64
"tcat6346",142
"tcat6031",136
"tcat11800",96
"tcat14588",48
"tcat4802",112
"tcat18508",56
"tcat909",11
"tcat14387",3
"tcat12986",127
"tcat15090",120
"tcat8513",29
"tcat15959",132
"tcat10725",99
"tcat1347",39
"tcat19168",97
"tcat817",14
"tcat14573",149
"tcat10204",84
"tcat18236",93
"tcat1423",62
"tcat19455",46
"tcat4462",17
"tcat2158",142
"tcat15128",134
"tcat11450",134
"tcat19438",153
"tcat3408",93
"tcat4490",108
"tcat16494",89
"tcat5866",18
"tcat2657",146
"tcat2775",3
"tcat933",34
"tcat685",71
"tcat9733",149
"tcat13928",46
"tcat2519",62
"tcat2038",88
"tcat830",143
"tcat18994",64
"tcat6411",105
"tcat17604",128
"tcat11150",101
"tcat4073",124
"tcat10122",63
"tcat11224",146
"tcat2714",75
"tcat7251",56
"tcat13737",140
"tcat15086",94
"tcat9209",54
"tcat7284",22
"tcat18720",88
"tcat19886",72
"tcat13679",115
"tcat16776",141
"tcat5517",154
"tcat17746",63
"tcat6920",49
"tcat9432",109
"tcat6753",103
"tcat14989",110
"tcat14777",4
"tcat19075",145
"tcat2918",60
"tcat15978",26
"tcat1957",29
"tcat17203",20
"tcat9647",37
"tcat9337",5
"tcat2699",111
"tcat2680",53
"tcat1620",151
"tcat9681",77
"tcat3661",38
"tcat13284",75
"tcat13507",9
"tcat15220",60
"tcat14159",10
"tcat329",115
"tcat8274",136
"tcat2796",142
"tcat18612",49
"tcat11740",119
"tcat19811",70
"tcat17855",70
"tcat10501",55
"tcat12152",20
"tcat19785",91
"tcat14172",9
"tcat16406",75
"tcat2873",146
"tcat16668",45
"tcat5455",19
"tcat4996",138
"tcat13972",99
"tcat16837",114
"tcat10160",6
"tcat19017",97
"tcat16989",111
"tcat19943",96
"tcat17126",40
"tcat5994",31
"tcat16342",5
"tcat6375",9
"tcat6562",105
"tcat5291",72
"tcat7826",65
"tcat19917",115
"tcat4558",47
"tcat16979",99
"tcat9072",105
"tcat5370",153
"tcat9143",2
"tcat13520",66
"tcat14799",62
"tcat990",76
"tcat3204",26
"tcat16693",4
"tcat7108",139
"tcat18656",101
"tcat14977",1
"tcat3461",125
"tcat10832",133
"tcat5019",150
"tcat8224",49
"tcat6841",78
"tcat12613",120
"tcat12080",134
"tcat15739",116
"tcat8425",90
"tcat4875",85
"tcat7041",45
"tcat19985",77
"tcat808",50
"tcat12045",43
"tcat2808",29
"tcat6235",31
"tcat16123",26
"tcat1693",104
"tcat17738",68
"tcat16174",131
"tcat3690",7
"tcat14729",10
"tcat3458",10
"tcat17793",48
"tcat16091",2
"tcat5716",72
"tcat6701",2
"tcat9640",71
"tcat14649",12
"tcat5066",151
"tcat9994",127
"tcat15558",38
"tcat10376",114
"tcat8619",110
"tcat18026",78
"tcat4148",57
"tcat19181",81
"tcat4739",101
"tcat2285",8
"tcat19761",69
"tcat8071",80
"tcat14576",127
"tcat10411",35
"tcat7664",9
"tcat5671",37
"tcat5026",127
"tcat6333",45
"tcat2865",31
"tcat13010",19
"tcat17107",88
"tcat10016",119
"tcat5654",131
"tcat1421",72
"tcat18581",95
"tcat13070",140
"tcat5974",82
"tcat13489",125
"tcat17176",25
"tcat15429",124
"tcat9607",59
"tcat13645",84
"tcat10299",148
"tcat2022",41
"tcat7715",51
"tcat17806",135
"tcat15036",39
"tcat2511",25
"tcat908",37
"tcat16644",147
"tcat6782",97
"tcat16534",100
"tcat664",73
"tcat14328",140
"tcat15825",146
"tcat11843",128
"tcat6054",23
"tcat10128",79
"tcat10805",149
"tcat6241",4
"tcat7310",74
"tcat7248",134
"tcat3061",121
"tcat8898",95
"tcat4515",17
"tcat15727",53
"tcat5505",61
"tcat7954",81
"tcat15510",120
"tcat5932",84
"tcat18718",142
"tcat8441",12
"tcat735",30
"tcat11675",86
"tcat17612",148
"tcat2850",132
"tcat11473",109
"tcat1429",43
"tcat3197",57
"tcat14817",129
"tcat740",119
"tcat19684",122
"tcat7256",8
"tcat16539",21
"tcat18004",108
"tcat16634",79
"tcat11110",35
"tcat5080",128
"tcat18755",97
"tcat3854",36
"tcat13084",104
"tcat13451",132
"tcat19688",7
"tcat3748",74
"tcat19716",95
"tcat15763",123
"tcat18816",97
"tcat9730",151
"tcat19994",131
"tcat8616",45
"tcat2964",17
"tcat3780",49
"tcat15159",73
"tcat3998",29
"tcat9724",42
"tcat1173",69
"tcat15368",9
"tcat5286",148
"tcat707",119
"tcat2525",31
"tcat15527",35
"tcat14547",7
"tcat2600",45
"tcat12576",83
"tcat4827",36
"tcat17534",55
"tcat19930",40
"tcat5816",99
"tcat8939",105
"tcat17312",36
"tcat12659",53
"tcat14252",112
"tcat4614",68
"tcat12775",148
"tcat15834",21
"tcat5870",142
