Higher taxonomic group,Order,Family,Genus,Species,femalediploidnumber,malediploidnumber,"Predicted ploidy (1,2,3,4)",reproductivemode,sexchromosome,"Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","Haplodiploidy (arrhenotoky,paternal genome elimination,other)","Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","Polyfactorial (yes,no)","Molecular basis (dosage,Y dominant,W dominant)",entry initials,entry name,entry email,"notes, comments",source: Chromosome number (female),source: Chromosome number (male),"source: Predicted ploidy (1,2,3,4)","source: Sexual system (hermaphrodite,monoecy,dioecy,gynodioecy,androdioecy,gynomonoecy,andromonoecy,polygamodioecy,polygamomonoecy,apomictic,other)","source: Karyotype (ZO,ZW,XY,XO,WO,homomorphic,complex XY,complex ZW)","source: Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","source: Haplodiploidy (arrhenotoky,paternal genome elimination,other)","source: Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","source: Polyfactorial (yes,no)","source: Molecular basis (dosage,Y dominant,W dominant)",citation
Fish,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha-2 lucida,,,3,apomictic,,,,,,,SPO,Sarah Otto,otto@zoology.ubc.ca,gynogenetic,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York.","Vrijenhoek R., 1998   Animal Clones and Diversity. Bioscience 48: 617-628.",,,,,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York."
Fish,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha-latidens,,,2,other,,,,,,,SPO,Sarah Otto,otto@zoology.ubc.ca,hybridogenic,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York.","Vrijenhoek R., 1998   Animal Clones and Diversity. Bioscience 48: 617-628.",,,,,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York."
Fish,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha-lucida,,,2,other,,,,,,,SPO,Sarah Otto,otto@zoology.ubc.ca,hybridogenic,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York.","Vrijenhoek R., 1998   Animal Clones and Diversity. Bioscience 48: 617-628.",,,,,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York."
Fish,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha-lucida-viriosa,,,3,apomictic,,,,,,,SPO,Sarah Otto,otto@zoology.ubc.ca,gynogenetic,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York.","Vrijenhoek R., 1998   Animal Clones and Diversity. Bioscience 48: 617-628.",,,,,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York."
Fish,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha-occidentalis,,,2,other,,,,,,,SPO,Sarah Otto,otto@zoology.ubc.ca,hybridogenic,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York.","Vrijenhoek R., 1998   Animal Clones and Diversity. Bioscience 48: 617-628.",,,,,,,"Vrijenhoek, R.C., R.M. Dawley, C.J. Cole & J.P. Bogart, 1989. A list of the known unisexual vertebrates, pp. 19-23 in Evolution and Ecology of Unisexual Vertebrates, edited by R.M. Dawley & J.P. Bogart. New York State Mus. Bull. 466, New York."
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,alvarezi,,,,gonochorous,homomorphic,female heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,,,,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,,,,,Volff and Schartl (2001) Genetica 111: 101-110
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,cortezi,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,,,,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,,,,,Volff and Schartl (2001) Genetica 111: 101-110
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,helleri,48,48,,hermaphrodite,,,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,protogynous hermaphrodite,"Arai R. (2011) Fish Karyotypes, Springer.","Arai R. (2011) Fish Karyotypes, Springer.",,Devlin and Nagahama (2002) Aquaculture 208: 191-364,,,,,,,"Arai R. (2011) Fish Karyotypes, Springer."
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,maculatus,48,48,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Arai R. (2011) Fish Karyotypes, Springer.","Arai R. (2011) Fish Karyotypes, Springer.",,"Arai R. (2011) Fish Karyotypes, Springer.","Arai R. (2011) Fish Karyotypes, Springer.","Arai R. (2011) Fish Karyotypes, Springer.",,,,,"Arai R. (2011) Fish Karyotypes, Springer."
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,milleri,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,"two indepdent Y chromosomes in population, YY' males are possible ",,,,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,,,,,Kallman and Atz (1966) Zoologica 51: 107-135
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,nezahualcoyotl,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,"two indepdent Y chromosomes in population, YY' males are possible ",,,,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,,,,,Volff and Schartl (2001) Genetica 111: 101-110
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,nigrensis,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,"autosomal modifier, so that 5% of XX individuals are male",,,,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,,,,,Volff and Schartl (2001) Genetica 111: 101-110
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,pygmaeus,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,,,,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,,,,,Kallman and Atz (1966) Zoologica 51: 107-135
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,variatus,,,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,,,,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,Kallman and Atz (1966) Zoologica 51: 107-135,,,,,Kallman and Atz (1966) Zoologica 51: 107-135
Fish,Cyprinodontiformes,Poeciliidae,Xiphophorus,xiphidium,48,48,,gonochorous,homomorphic,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,Lueken W. and W. Foerster. (1969) Chromosomenuntersuchungen bei fischen mit einer vereinfachten zellkulturtechnik. Zool. Anz. 183: 169-176.,Lueken W. and W. Foerster. (1969) Chromosomenuntersuchungen bei fischen mit einer vereinfachten zellkulturtechnik. Zool. Anz. 183: 169-176.,,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,Volff and Schartl (2001) Genetica 111: 101-110,,,,,Lueken W. and W. Foerster. (1969) Chromosomenuntersuchungen bei fischen mit einer vereinfachten zellkulturtechnik. Zool. Anz. 183: 169-176.
Fish,Cyprinodontiformes,Rivulidae,Rivulus,marmaratus,48,48,,hermaphrodite,,,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,simultaneous hermaphrodite,Scheel J.J. (1972) Z. zool. Syst. Evolut.-forsch. 10: 180-209.,Scheel J.J. (1972) Z. zool. Syst. Evolut.-forsch. 10: 180-209.,,Harrington R.W. (1971) Copeia 1971: 389-343,,,,,,,Scheel J.J. (1972) Z. zool. Syst. Evolut.-forsch. 10: 180-209.
Fish,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus-1,46,46,,gonochorous,ZW,female heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,"Not homologous to sex chromosome in Gasterosteus aculeatus, G. wheatlandi, or Pungitius pungitius",Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,,,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.
Fish,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus-2,46,46,,gonochorous,homomorphic,,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,,Urton J.R. et al. (2011) Karyotype differentiation between two stickleback species. Cytogenet Genome Res 135: 150-159.,Urton J.R. et al. (2011) Karyotype differentiation between two stickleback species. Cytogenet Genome Res 135: 150-159.,,Urton J.R. et al. (2011) Karyotype differentiation between two stickleback species. Cytogenet Genome Res 135: 150-159.,Urton J.R. et al. (2011) Karyotype differentiation between two stickleback species. Cytogenet Genome Res 135: 150-159.,,,,,,Urton J.R. et al. (2011) Karyotype differentiation between two stickleback species. Cytogenet Genome Res 135: 150-159.
Fish,Gasterosteiformes,Gasterosteidae,Culaea,inconstans,46,46,,gonochorous,homomorphic,,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,,,,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.
Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus-1,42,41,,gonochorous,complex XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,X1X2Y; Sex chromosome is fusion between ancestral Gasterosteus aculeatus Y (LG19) and LG9,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.,,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.,,,,,Kitano J. et al. (2009) A role for a neo-sex chromosome in stickleback speciation. Nature 461(7267):1079-1083.
Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus-2,42,42,,gonochorous,XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,"Sex chromosome is LG19; not homologous to sex chromosomes in Pungitius pungitius, Culaea inconstans, or Apeltes quadracus, but fused to LG9 in Japan Sea population of Gasterosteus aculeatus and to LG12 in G. wheatlandi; see Marshall Graves & Peichel (2010; Genome Biology) for relationship to other fish sex chromosomes",Ross J.A. and Peichel C.L. (2008) Molecular cytogenetic evidence of rearrangements on the Y chromosome of the threespine stickleback fish. Genetics 179: 2173-2182.,Ross J.A. and Peichel C.L. (2008) Molecular cytogenetic evidence of rearrangements on the Y chromosome of the threespine stickleback fish. Genetics 179: 2173-2182.,,Ross J.A. and Peichel C.L. (2008) Molecular cytogenetic evidence of rearrangements on the Y chromosome of the threespine stickleback fish. Genetics 179: 2173-2182.,Ross J.A. and Peichel C.L. (2008) Molecular cytogenetic evidence of rearrangements on the Y chromosome of the threespine stickleback fish. Genetics 179: 2173-2182.,Peichel C.L. et al. (2004) The master sex-determination locus in threespine sticklebacks is on a nascent Y chromosome. Current Biology 14: 1416-1424.,,,,,Ross J.A. and Peichel C.L. (2008) Molecular cytogenetic evidence of rearrangements on the Y chromosome of the threespine stickleback fish. Genetics 179: 2173-2182.
Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus,wheatlandi-1,42,41,,gonochorous,complex XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,"X1X2Y; Sex chromosome is fusion between ancestral Gasterosteus aculeatus Y (LG19) and LG12, but not homologous to XY sex chromosome in Pungitius pungitius (LG12)",Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,,,,,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.
Fish,Gasterosteiformes,Gasterosteidae,Gasterosteus,wheatlandi-2,42,42,,gonochorous,XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.,,,,,Chen T.R. and Reisman H.M. (1970) A comparative chromosome study of the North American species of sticklebacks (Teleostei: Gasterosteidae). Cytogenetics 9: 321-332.
Fish,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,42,42,,gonochorous,XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,"Sex chromosome is LG12; not homologous to sex chromosome in Gasterosteus aculeatus, G. wheatlandi, Culaea inconstans, or Apeltes quadracus; see Marshall Graves & Peichel (2010; Genome Biology) for relationship to other fish sex chromosomes",Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.,,,,,Ross J.A. et al. (2009) Turnover of sex chromosomes in the stickleback fishes (Gasterosteidae). PLoS Genetics 5: e1000391.
Fish,Gobiesociformes,Gobiesocidae,Diademichthys,lineatus,48,47,,gonochorous,XO,male heterogametic,,,,,JEM,Judith Mank,judith.mank@ucl.ac.uk,,"Arai R. (2011) Fish Karyotypes, Springer.","Arai R. (2011) Fish Karyotypes, Springer.",,Devlin and Nagahama (2002) Aquaculture 208: 191-364,Devlin and Nagahama (2002) Aquaculture 208: 191-364,Devlin and Nagahama (2002) Aquaculture 208: 191-364,,,,,"Arai R. (2011) Fish Karyotypes, Springer."
Fish,Gymnotiformes,Gymnotidae,Gymnotus,pantanal,40,39,,gonochorous,complex XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,X1X2Y,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,,,,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164."
Fish,Gymnotiformes,Gymnotidae,Gymnotus,paraguensis,54,54,,gonochorous,homomorphic,,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,,,,,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164."
Fish,Gymnotiformes,Gymnotidae,Gymnotus,sylvius,40,40,,gonochorous,homomorphic,,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.","Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164.",,,,,,"Margarido V.P., Bellafronte E., and Moreira-Filho O. (2007) Cytogenetic analysis of three sympatric Gymnotus (Gymnotiformes, Gymnotidae) species verifies invasive species in the Upper Parana River basin, Brazil. J Fish Biol 70 (Suppl B): 155-164."
Fish,Gymnotiformes,Hypopomidae,Brachyhypopomus,pinnicaudatus,42,41,,gonochorous,complex XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,X1X2Y,"Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340.","Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340.",,"Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340.","Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340.","Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340.",,,,,"Almeida-Toledo L.F., Daniel-Silva M.F.Z., Lopes C.E., and Toledo-Filho S.A. (2000) Sex chromosome evolution in fish. II. Second occurrence of an X1X2Y sex chromosome system in Gymnotiformes. Chrom Res 8:335-340."
Fish,Gymnotiformes,Sternopygidae,Eigenmannia,sp.2,32,31,,gonochorous,complex XY,male heterogametic,,,,,KP,Katie Peichel,cpeichel@fhcrc.org,X1X2Y,"Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169.","Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169.",,"Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169.","Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169.","Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169.",,,,,"Almeida-Toledo L.F. et al. (2000) Sex chromosome evolution in fish: the formation of the neo-Y chromosome in Eigenmannia (Gymnotiformes). Chromosoma 109(3): 197-200; Almeida-Toledo L.F. et al. (1984) Complex sex chromosome system in Eigenmannia sp. (Pisces, Gymnotiformes). Genetica 64:165-169."
